Path	Group	Primary dataset	Total	ParkingZeroBias0	ParkingZeroBias1	ParkingZeroBias2	ParkingZeroBias3
HLT_Ele27_HighEta_Ele20_Mass55_v5	ECAL	DoubleEG	2	0	0	0	2
HLT_DoubleEle24_22_eta2p1_WPLoose_Gsf_v6	TAU,HIG	DoubleEG	2	0	0	1	1
HLT_Mu17_Mu8_SameSign_DZ_v3	HIG	DoubleMuon	2	0	1	0	1
HLT_DoubleMu38NoFiltersNoVtx_v3	EXO	DoubleMuon	2	0	0	2	0
HLT_DiPFJetAve320_v4	JME	JetHT	2	2	0	0	0
HLT_DiSC30_18_EIso_AND_HE_Mass70_v4	EGM	Commissioning	2	0	1	1	0
HLT_PFHT600_v5	SUSY	JetHT	2	0	2	0	0
HLT_Photon50_R9Id90_HE10_Iso40_EBOnly_VBF_v5	HIG	SinglePhoton	2	1	0	1	0
HLT_AK8PFJet320_v1	SMP	JetHT	2	1	0	0	1
HLT_Mu16_eta2p1_MET30_v2	HIG,TAU	SingleMuon	2	1	0	1	0
HLT_VBF_DisplacedJet40_VTightID_Hadronic_v3	EXO	DisplacedJet	2	0	1	1	0
HLT_Photon165_R9Id90_HE10_IsoM_v7	SMP,SUSY	SinglePhoton	2	0	1	0	1
HLT_DiCentralPFJet170_CFMax0p1_v2	EXO	JetHT	2	0	1	0	1
HLT_DoubleMu4_3_Jpsi_Displaced_v4	BPH	Charmonium	2	1	0	1	0
HLT_Mu15_IsoVVVL_PFHT600_v5	SUSY	SingleMuon	2	0	1	1	0
HLT_Ele15_IsoVVVL_PFHT600_v6	SUSY	SingleElectron	2	0	0	1	1
HLT_Dimuon0er16_Jpsi_NoVertexing_v3	BPH	Charmonium	2	0	1	0	1
HLT_DiMu9_Ele9_CaloIdL_TrackIdL_v6	HIG	MuonEG	2	0	1	1	0
HLT_Mu38NoFiltersNoVtx_Photon38_CaloIdL_v5	EXO	MuonEG	2	0	1	0	1
HLT_DoubleMu4_PsiPrimeTrk_Displaced_v4	BPH	Charmonium	2	1	0	0	1
HLT_VBF_DisplacedJet40_VVTightID_Hadronic_v3	EXO	DisplacedJet	2	0	1	1	0
HLT_DoubleMu8_Mass8_PFHT300_v6	SUSY	DoubleMuon	2	1	1	0	0
HLT_PFMET120_Mu5_v3	JME,SUSY	MET	2	2	0	0	0
HLT_Ele15_IsoVVVL_PFHT400_PFMET50_v3	SUSY	SingleElectron	1	0	1	0	0
HLT_Photon120_R9Id90_HE10_Iso40_EBOnly_VBF_v5	HIG	SinglePhoton	1	0	1	0	0
HLT_Photon50_R9Id90_HE10_Iso40_EBOnly_PFMET40_v6	HIG	SinglePhoton	1	0	0	0	1
HLT_Photon50_R9Id90_HE10_IsoM_v6	SMP,SUSY	SinglePhoton	1	1	0	0	0
HLT_PFHT350_DiPFJetAve90_PFAlphaT0p52_v4	SUSY	HTMHT	1	1	0	0	0
HLT_Mu8_TrkIsoVVL_DiPFJet40_DEta3p5_MJJ750_HTT300_PFMETNoMu60_v1	SUSY	SingleMuon	1	0	0	1	0
HLT_Mu15_IsoVVVL_PFHT400_PFMET50_v2	SUSY	SingleMuon	1	1	0	0	0
HLT_Mu42NoFiltersNoVtx_Photon42_CaloIdL_v5	EXO	MuonEG	1	0	0	0	1
HLT_Rsq0p25_v3	SUSY	HTMHT	1	0	1	0	0
HLT_PFMET300_v3	PPD	MET	1	0	1	0	0
HLT_Mu40_eta2p1_PFJet200_PFJet50_v4	B2G	SingleMuon	1	0	0	0	1
HLT_VBF_DisplacedJet40_DisplacedTrack_2TrackIP2DSig5_v3	EXO	DisplacedJet	1	0	0	0	1
HLT_Photon75_R9Id90_HE10_IsoM_v6	SMP,SUSY	SinglePhoton	1	1	0	0	0
HLT_PFMET170_BeamHaloCleaned_v3	JME	MET	1	1	0	0	0
HLT_PFHT400_v4	SUSY	JetHT	1	0	0	1	0
HLT_HT350_DisplacedDijet80_DisplacedTrack_v4	EXO	DisplacedJet	1	0	0	1	0
HLT_AK8DiPFJet280_200_TrimMass30_v2	B2G	JetHT	1	0	0	1	0
HLT_Photon36_R9Id90_HE10_Iso40_EBOnly_VBF_v5	HIG	SinglePhoton	1	1	0	0	0
HLT_RsqMR270_Rsq0p09_MR200_4jet_v3	SUSY	HTMHT	1	0	1	0	0
HLT_Mu20_Mu10_SameSign_v2	HIG	DoubleMuon	1	1	0	0	0
HLT_Photon120_v6	SMP,EXO	SinglePhoton	1	1	0	0	0
HLT_Mu300_v2	EXO	SingleMuon	1	0	0	0	1
HLT_PFJet320_v5	SMP,BTV	JetHT	1	1	0	0	0
HLT_TripleMu_5_3_3_v1	SUSY	DoubleMuon	1	0	0	0	1
HLT_PFHT550_4JetPt50_v3	EXO	JetHT	1	0	1	0	0
