Prescale	Path	Dataset	Group		Total	HLTPhysics0	HLTPhysics1	
-1	HLT_MET700_v3	PPD,AlCa	OnlineMonitor,ExpressPhysics,MET		0.0	0.0	0.0
-1	HLT_AK8PFJet200_v2	SMP	OnlineMonitor,JetHT		13.0	5.0	8.0
-1	HLT_Mu33NoFiltersNoVtxDisplaced_DisplacedJet50_Tight_v3	EXO	OnlineMonitor,SingleMuon		0.0	0.0	0.0
-1	HLT_DoubleJetsC100_DoubleBTagCSV_p014_DoublePFJetsC100MaxDeta1p6_v3	Higgs,Analysis	OnlineMonitor,BTagCSV		198.0	101.0	97.0
-1	HLT_DoubleMu4_JpsiTrk_Displaced_v5	BPH	OnlineMonitor,Charmonium		304.0	151.0	153.0
-1	HLT_DiPFJetAve100_HFJEC_v6	FSQ,JME	OnlineMonitor,JetHT		13.0	6.0	7.0
-1	HLT_L1BptxXOR_v2	null	OnlineMonitor,Commissioning		0.0	0.0	0.0
-1	HLT_Ele27_HighEta_Ele20_Mass55_v6	ECAL DPG	OnlineMonitor,DoubleEG		16.0	8.0	8.0
-1	HLT_HT350_DisplacedDijet80_DisplacedTrack_v4	EXO	OnlineMonitor,DisplacedJet		12.0	8.0	4.0
-1	HLT_Mu10_CentralPFJet30_BTagCSV_p13_v3	null	OnlineMonitor,DoubleMuon		29.0	8.0	21.0
-1	HLT_VBF_DisplacedJet40_DisplacedTrack_2TrackIP2DSig5_v3	EXO	OnlineMonitor,DisplacedJet		62.0	30.0	32.0
-1	HLT_AK8DiPFJet280_200_TrimMass30_v3	B2G PAG	OnlineMonitor,JetHT		11.0	7.0	4.0
-1	HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ_v1	HIG	OnlineMonitor,MuonEG		68.0	30.0	38.0
-1	HLT_AK8PFJet450_v3	SMP	OnlineMonitor,JetHT		183.0	91.0	92.0
-1	HLT_DoubleEle8_CaloIdM_TrackIdM_Mass8_PFHT300_v8	null	OnlineMonitor,DoubleEG		46.0	19.0	27.0
-1	HLT_DoubleEle24_22_eta2p1_WPLoose_Gsf_v7	TAU,HIG	OnlineMonitor,DoubleEG		37.0	22.0	15.0
-1	HLT_Mu17_TrkIsoVVL_TkMu8_TrkIsoVVL_DZ_v3	MUO	OnlineMonitor,DoubleMuon		189.0	93.0	96.0
-1	HLT_MonoCentralPFJet80_PFMETNoMu110_PFMHTNoMu110_IDTight_v5	EXO	OnlineMonitor,MET		137.0	72.0	65.0
-1	HLT_PFHT350_v6	SUS	OnlineMonitor,HLTMonitor,JetHT		27.0	13.0	14.0
-1	HLT_DoubleJetsC100_DoubleBTagCSV_p026_DoublePFJetsC160_v3	Higgs,Analysis	OnlineMonitor,BTagCSV		130.0	63.0	67.0
-1	HLT_Ele23_CaloIdL_TrackIdL_IsoVL_v7	HIG	OnlineMonitor,DoubleEG		9.0	5.0	4.0
-1	HLT_AK8PFHT600_TrimR0p1PT0p03Mass50_BTagCSV_p20_v4	B2G	OnlineMonitor,JetHT		0.0	0.0	0.0
-1	HLT_RsqMR270_Rsq0p09_MR200_4jet_v4	SUS	OnlineMonitor,HTMHT		21.0	10.0	11.0
-1	HLT_DoubleEle33_CaloIdL_MW_v7	EXO	OnlineMonitor,DoubleEG		144.0	79.0	65.0
-1	HLT_Mu8_Ele8_CaloIdM_TrackIdM_Mass8_PFHT250_v5	null	OnlineMonitor,MuonEG		0.0	0.0	0.0
-1	HLT_QuadMuon0_Dimuon0_Jpsi_v3	BPH	OnlineMonitor,Charmonium		8.0	4.0	4.0
-1	HLT_Mu17_Mu8_SameSign_DZ_v3	null	OnlineMonitor,DoubleMuon		68.0	28.0	40.0
-1	HLT_Mu20_Mu10_SameSign_v2	Higgs	OnlineMonitor,DoubleMuon		49.0	22.0	27.0
-1	HLT_Photon135_PFMET100_v6	EXO	OnlineMonitor,SinglePhoton		20.0	10.0	10.0
-1	HLT_AK8PFJet40_v3	SMP	OnlineMonitor,JetHT		39.0	19.0	20.0
-1	HLT_VBF_DisplacedJet40_TightID_DisplacedTrack_v3	EXO	OnlineMonitor,DisplacedJet		0.0	0.0	0.0
-1	HLT_QuadPFJet_BTagCSV_p016_p11_VBF_Mqq240_v3	HIG ,Hbb	OnlineMonitor,HLTMonitor,BTagCSV		174.0	72.0	102.0
-1	HLT_PixelTracks_Multiplicity160ForEndOfFill_v3	FSQ,HIN	OnlineMonitor,HighMultiplicityEOF		0.0	0.0	0.0
-1	HLT_HISinglePhoton15_v3	HIN	OnlineMonitor,HINPhoton		0.0	0.0	0.0
-1	HLT_Photon120_v6	SMP	OnlineMonitor,SinglePhoton		4.0	0.0	4.0
-1	HLT_ZeroBias_FirstCollisionInTrain_v1	null	OnlineMonitor,ZeroBiasFirstBunchInTrain		274.0	150.0	124.0
-1	HLT_Ele23_CaloIdM_TrackIdM_PFJet30_v7	SUS	OnlineMonitor,DoubleEG		6.0	1.0	5.0
-1	HLT_DoubleMu38NoFiltersNoVtx_v3	EXO	OnlineMonitor,DoubleMuon		32.0	18.0	14.0
-1	HLT_Photon75_R9Id90_HE10_IsoM_v7	SMP,SUS	OnlineMonitor,SinglePhoton		15.0	7.0	8.0
-1	HLT_Ele17_CaloIdL_GsfTrkIdVL_v5	null	OnlineMonitor,DoubleEG		14.0	3.0	11.0
-1	HLT_Ele15_IsoVVVL_PFHT400_PFMET50_v4	SUS	OnlineMonitor,SingleElectron		18.0	7.0	11.0
-1	HLT_Photon120_R9Id90_HE10_Iso40_EBOnly_VBF_v6	HIG	OnlineMonitor,SinglePhoton		7.0	6.0	1.0
-1	HLT_PFTau120_eta2p1_v3	tau-pog	OnlineMonitor,Tau		4.0	2.0	2.0
-1	HLT_BTagMu_Jet300_Mu5_v3	BTV	OnlineMonitor,BTagMu		47.0	22.0	25.0
-1	HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v7	HIG	OnlineMonitor,MuonEG		36.0	13.0	23.0
-1	HLT_JetE30_NoBPTX_v3	EXO	OnlineMonitor,NoBPTX		29.0	17.0	12.0
-1	HLT_Ele24_eta2p1_WPLoose_Gsf_LooseIsoPFTau30_v2	null	OnlineMonitor,SingleElectron		83.0	49.0	34.0
-1	HLT_CaloMHTNoPU90_PFMET90_PFMHT90_IDTight_v5	HIG ,Hbb	OnlineMonitor,MET		7.0	6.0	1.0
-1	HLT_DoubleMu28NoFiltersNoVtxDisplaced_v3	EXO	OnlineMonitor,DoubleMuon		6.0	4.0	2.0
-1	HLT_L1SingleMu18_v1	MUO	OnlineMonitor,SingleMuon		13.0	6.0	7.0
-1	HLT_Ele27_eta2p1_WPTight_Gsf_v7	Egamma	OnlineMonitor,SingleElectron		1228.0	616.0	612.0
-1	HLT_DiPFJetAve320_v6	JME	OnlineMonitor,JetHT		29.0	18.0	11.0
-1	HLT_Ele27_eta2p1_WPLoose_Gsf_HT200_v7	ttH	OnlineMonitor,SingleElectron		107.0	58.0	49.0
-1	HLT_Mu25_TkMu0_dEta18_Onia_v4	BPH	OnlineMonitor,MuOnia		43.0	22.0	21.0
-1	HLT_PFJet450_v7	SMP	OnlineMonitor,JetHT		138.0	65.0	73.0
-1	HLT_Mu28NoFiltersNoVtx_CentralCaloJet40_v3	EXO	OnlineMonitor,SingleMuon		1.0	1.0	0.0
-1	HLT_AK8PFHT700_TrimR0p1PT0p03Mass50_v6	B2G	OnlineMonitor,JetHT		276.0	125.0	151.0
-1	HLT_JetE70_NoBPTX3BX_v2	EXO	OnlineMonitor,NoBPTX		13.0	5.0	8.0
-1	HLT_Ele27_eta2p1_WPLoose_Gsf_DoubleMediumIsoPFTau35_Trk1_eta2p1_Reg_v7	TAU,HIG,EXO	OnlineMonitor,SingleElectron		28.0	19.0	9.0
-1	HLT_L2Mu10_NoVertex_NoBPTX_v3	EXO	OnlineMonitor,NoBPTX		5.0	0.0	5.0
-1	HLT_DiSC30_18_EIso_AND_HE_Mass70_v5	null	OnlineMonitor,Commissioning		26.0	15.0	11.0
-1	HLT_PFJet320_v7	SMP	OnlineMonitor,JetHT		22.0	14.0	8.0
-1	HLT_PFHT450_SixJet40_v5	HIG	OnlineMonitor,JetHT		20.0	7.0	13.0
-1	HLT_Mu16_TkMu0_dEta18_Onia_v3	BPH	OnlineMonitor,MuOnia		0.0	0.0	0.0
-1	HLT_AK8DiPFJet280_200_TrimMass30_BTagCSV_p20_v3	B2G PAG	OnlineMonitor,JetHT		407.0	189.0	218.0
-1	HLT_DoubleMu4_LowMassNonResonantTrk_Displaced_v5	BPH	OnlineMonitor,DoubleMuonLowMass		533.0	279.0	254.0
-1	HLT_DiPFJetAve200_v5	JME	OnlineMonitor,JetHT		7.0	4.0	3.0
-1	HLT_Ele15_IsoVVVL_PFHT350_v6	SUS	OnlineMonitor,SingleElectron		0.0	0.0	0.0
-1	HLT_PFMETNoMu120_PFMHTNoMu120_IDTight_v5	EXO	OnlineMonitor,MET		96.0	48.0	48.0
-1	HLT_IsoMu16_eta2p1_MET30_v2	HIG,TAU	OnlineMonitor,SingleMuon		429.0	212.0	217.0
-1	HLT_TripleMu_5_3_3_v2	SUS	OnlineMonitor,DoubleMuon		25.0	10.0	15.0
-1	HLT_BTagMu_DiJet40_Mu5_v3	BTV	OnlineMonitor,BTagMu		68.0	29.0	39.0
-1	HLT_PFHT250_v4	SUS	OnlineMonitor,JetHT		12.0	3.0	9.0
-1	HLT_Ele27_WPTight_Gsf_L1JetTauSeeded_v3	EGM	OnlineMonitor,SingleElectron		15.0	8.0	7.0
-1	HLT_Dimuon8_PsiPrime_Barrel_v5	BPH	OnlineMonitor,Charmonium		0.0	0.0	0.0
-1	HLT_Mu7p5_Track7_Jpsi_v3	BPH	OnlineMonitor,Charmonium		6.0	1.0	5.0
