Path,Group,Dataset,L1Path,L1Prescale(9.5e33),Steam L1path,Steam L1Prescale,WBM hltPrescale(9.5e33),Steam hltPrescale,Wbm Count,Steam Count,,Data Rate (Hz),,,Steam Rate (Hz),,abs(Data-Steam)(Hz),,Bias : (data-steam)/max(data;steam),,Pull
HLT_VBF_DisplacedJet40_VTightID_Hadronic,"EXO","OnlineMonitor,DisplacedJet",L1_TripleJet_84_68_48_VBF||L1_TripleJet_88_72_56_VBF||L1_TripleJet_92_76_64_VBF ||L1_HTT300,1||1||1 ||1,L1_TripleJet_84_68_48_VBF||L1_TripleJet_88_72_56_VBF||L1_TripleJet_92_76_64_VBF||L1_HTT300,1||1||1||1,1,1,12928,38,2.43000,+/-,0.02137,2.67768,+/-,0.43438,0.24768,9.25%,+/-,14.74%,0.570191011876
HLT_TkMu20,"SMP","OnlineMonitor,SingleMuon",L1_SingleMu18,1,L1_SingleMu18,100,626,626,5004,13,0.94000,+/-,0.01329,0.00146,+/-,0.00041,0.93854,99.84%,+/-,1.41%,70.628834627
HLT_TripleMu_12_10_5,"HIG","OnlineMonitor,DoubleMuon",L1_TripleMu0||L1_TripleMu_5_5_3,1||1,L1_TripleMu0||L1_TripleMu_5_5_3,1||1,1,1,9704,24,1.83000,+/-,0.01858,1.69116,+/-,0.34521,0.13884,7.59%,+/-,17.46%,0.40217874485
HLT_Photon120_R9Id90_HE10_IsoM,"SMP,SUS","OnlineMonitor,SinglePhoton",L1_SingleEG34||L1_SingleEG40,1||1,L1_SingleEG34||L1_SingleEG40,1||1,4,4,7068,22,1.33000,+/-,0.01582,0.38756,+/-,0.08263,0.94244,70.86%,+/-,2.17%,11.4058669174
DST_L1DoubleMu_BTagScouting,"SMP,SUS","OnlineMonitor,SinglePhoton",L1_SingleEG34||L1_SingleEG40,1||1,L1_SingleEG34||L1_SingleEG40,1||1,4,4,7068,22,1.33000,+/-,0.01582,0.38756,+/-,0.08263,0.94244,70.86%,+/-,2.17%,11.4058669174
HLT_DiPFJetAve80_HFJEC,"FSQ,JME","OnlineMonitor,JetHT",L1_SingleJet60,700,L1_SingleJet60,1000,6,6,2222,7,0.42000,+/-,0.00891,0.08221,+/-,0.03107,0.33779,80.43%,+/-,2.57%,10.8711399254
HLT_PFTau120_eta2p1,"tau-pog","OnlineMonitor,Tau",L1_SingleTau80er||L1_SingleTau100er,0||1,L1_SingleTau80er||L1_SingleTau100er,0||1,2000,2000,2220,4,0.42000,+/-,0.00891,0.00014,+/-,0.00007,0.41986,99.97%,+/-,2.12%,47.1010659567
HLT_BTagMu_DiJet40_Mu5,"BTV","OnlineMonitor,BTagMu",L1_Mu3_JetC16_dEta_Max0p4_dPhi_Max0p4,300,L1_Mu3_JetC16_dEta_Max0p4_dPhi_Max0p4,400,1,1,24994,68,4.70000,+/-,0.02973,4.79163,+/-,0.58107,0.09163,1.91%,+/-,11.91%,0.157698023408
HLT_PFMET120_Mu5,"JME","OnlineMonitor,HLTMonitor,MET",L1_SingleMuOpen,16000,L1_SingleMuOpen,20000,1,1,8638,24,1.63000,+/-,0.01754,1.69116,+/-,0.34521,0.06116,3.62%,+/-,19.70%,0.177182810386
HLT_Ele45_WPLoose_Gsf,"EGM","OnlineMonitor,SingleElectron",L1_SingleEG30||L1_SingleEG32||L1_SingleEG34||L1_SingleEG36||L1_SingleEG38||L1_SingleEG40||L1_SingleIsoEG22er||L1_SingleIsoEG24er||L1_SingleIsoEG26er||L1_SingleIsoEG28er||L1_SingleIsoEG30er||L1_SingleIsoEG32er||L1_SingleIsoEG34er||L1_SingleIsoEG24||L1_SingleIsoEG26||L1_SingleIsoEG28||L1_SingleIsoEG30||L1_SingleIsoEG32||L1_SingleIsoEG34||L1_SingleIsoEG36,1||1||1||1||1||1||0||1||1||1||1||1||1||0||1||1||1||1||1||1,L1_SingleEG30||L1_SingleEG32||L1_SingleEG34||L1_SingleEG36||L1_SingleEG38||L1_SingleEG40||L1_SingleIsoEG22er||L1_SingleIsoEG24er||L1_SingleIsoEG26er||L1_SingleIsoEG28er||L1_SingleIsoEG30er||L1_SingleIsoEG32er||L1_SingleIsoEG34er||L1_SingleIsoEG24||L1_SingleIsoEG26||L1_SingleIsoEG28||L1_SingleIsoEG30||L1_SingleIsoEG32||L1_SingleIsoEG34||L1_SingleIsoEG36,1||1||1||1||1||1||0||0||1||1||1||1||1||0||0||1||1||1||1||1,1,1,216310,560,40.70000,+/-,0.08751,39.46051,+/-,1.66751,1.23949,3.05%,+/-,3.98%,0.74331553664
HLT_Ele8_CaloIdM_TrackIdM_PFJet30,"SUS","OnlineMonitor,DoubleEG",L1_SingleEG10||L1_SingleEG5,6800||43000,L1_SingleEG10||L1_SingleEG5,8000||50000,1,1,7717,22,1.45000,+/-,0.01651,1.55023,+/-,0.33051,0.10023,6.47%,+/-,19.97%,0.303271045157
HLT_DiPFJetAve160_HFJEC,"FSQ,JME","OnlineMonitor,JetHT",L1_SingleJet120,42,L1_SingleJet120,100,3,3,2043,3,0.38000,+/-,0.00841,0.07047,+/-,0.04068,0.30953,81.46%,+/-,2.97%,7.60843623827
HLT_DiPFJetAve140,"JME","OnlineMonitor,JetHT",L1_SingleJet90,850,L1_SingleJet90,1200,3,3,3271,11,0.62000,+/-,0.01084,0.25837,+/-,0.07790,0.36163,58.33%,+/-,5.52%,4.64207091541
HLT_Photon90,"SMP","OnlineMonitor,SinglePhoton",L1_SingleEG34||L1_SingleEG40,1||1,L1_SingleEG34||L1_SingleEG40,1||1,200,200,3149,11,0.59000,+/-,0.01051,0.00388,+/-,0.00117,0.58612,99.34%,+/-,1.78%,55.7473374849
HLT_HcalIsolatedbunch,"HCAL DPG","OnlineMonitor,Commissioning",L1_IsolatedBunch AND ( L1_SingleJet16||L1_SingleJet20||L1_SingleJet35||L1_SingleJet60||L1_SingleJet90||L1_SingleJet120||L1_SingleJet140||L1_SingleJet150||L1_SingleJet160||L1_SingleJet170||L1_SingleJet180||L1_SingleJet200||L1_DoubleJetC40||L1_DoubleJetC50||L1_DoubleJetC60||L1_DoubleJetC80||L1_DoubleJetC100||L1_DoubleJetC112||L1_DoubleJetC120||L1_TripleJet_84_68_48_VBF||L1_TripleJet_88_72_56_VBF||L1_TripleJet_92_76_64_VBF||L1_QuadJetC40||L1_QuadJetC50||L1_QuadJetC60||L1_HTT120||L1_HTT160||L1_HTT200||L1_HTT220||L1_HTT240||L1_HTT255||L1_HTT270||L1_HTT280||L1_HTT300||L1_HTT320 ),11 AND ( 0||0||2200||700||850||42||0||1||1||1||1||1||0||0||0||0||1||1||1||1||1||1||0||1||1||25000||7500||0||5000||0||1||1||1||1||1 ),L1_IsolatedBunchAND(L1_SingleJet16||L1_SingleJet20||L1_SingleJet35||L1_SingleJet60||L1_SingleJet90||L1_SingleJet120||L1_SingleJet140||L1_SingleJet150||L1_SingleJet160||L1_SingleJet170||L1_SingleJet180||L1_SingleJet200||L1_DoubleJetC40||L1_DoubleJetC50||L1_DoubleJetC60||L1_DoubleJetC80||L1_DoubleJetC100||L1_DoubleJetC112||L1_DoubleJetC120||L1_TripleJet_84_68_48_VBF||L1_TripleJet_88_72_56_VBF||L1_TripleJet_92_76_64_VBF||L1_QuadJetC40||L1_QuadJetC50||L1_QuadJetC60||L1_HTT120||L1_HTT160||L1_HTT200||L1_HTT220||L1_HTT240||L1_HTT255||L1_HTT270||L1_HTT280||L1_HTT300||L1_HTT320),0||0||3000||1000||1200||100||0||0||1||1||1||1||0||0||0||0||1||1||1||1||1||1||0||1||1||35000||9500||0||6500||0||0||0||1||1||1),1,1,0,0,0.00000,+/-,0.00000,0.00000,+/-,0.00000,0.00000,0.00%,+/-,0.00%,N/A
HLT_MET600,"PPD,AlCa","OnlineMonitor,ExpressPhysics,MET",L1_ETM60||L1_ETM70||L1_ETM80||L1_ETM90||L1_ETM100||L1_ETM120,100||0||1||1||1||1,L1_ETM60||L1_ETM70||L1_ETM80||L1_ETM90||L1_ETM100||L1_ETM120,150||0||1||1||1||1,1,1,230,1,0.04000,+/-,0.00264,0.07047,+/-,0.07047,0.03047,43.23%,+/-,56.89%,0.432343925233
HLT_DoubleMu18NoFiltersNoVtx,"EXO","OnlineMonitor,DoubleMuon",L1_DoubleMu_11_4||L1_DoubleMu_12_5,1||1,L1_DoubleMu_11_4||L1_DoubleMu_12_5,1||1,52,52,1044,5,0.20000,+/-,0.00619,0.00678,+/-,0.00303,0.19322,96.61%,+/-,3.10%,31.2163732865
HLT_DiPFJetAve60,"JME","OnlineMonitor,JetHT",L1_ZeroBias,15923,L1_ZeroBias,15013,2,2,8702,22,1.64000,+/-,0.01758,0.77512,+/-,0.16526,0.86488,52.74%,+/-,4.88%,5.23360814643
HLT_Rsq0p25,"SUS","OnlineMonitor,HTMHT",L1_HTT160||L1_HTT200||L1_HTT220||L1_HTT240||L1_HTT255||L1_HTT270||L1_HTT280||L1_HTT300||L1_SingleJet120||L1_SingleJet140||L1_SingleJet150||L1_SingleJet160||L1_SingleJet170||L1_SingleJet180||L1_SingleJet200||L1_DoubleJetC80||L1_DoubleJetC100||L1_QuadJetC40||L1_QuadJetC50||L1_QuadJetC60||L1_Mu6_HTT200||L1_Mu8_HTT150||L1_EG27er_HTT200||L1_EG25er_HTT125||L1_DoubleEG6_HTT255,7500||0||5000||0||1||1||1||1||42||0||1||1||1||1||1||0||1||0||1||1||1||0||1||0||1,L1_HTT160||L1_HTT200||L1_HTT220||L1_HTT240||L1_HTT255||L1_HTT270||L1_HTT280||L1_HTT300||L1_SingleJet120||L1_SingleJet140||L1_SingleJet150||L1_SingleJet160||L1_SingleJet170||L1_SingleJet180||L1_SingleJet200||L1_DoubleJetC80||L1_DoubleJetC100||L1_QuadJetC40||L1_QuadJetC50||L1_QuadJetC60||L1_Mu6_HTT200||L1_Mu8_HTT150||L1_EG27er_HTT200||L1_EG25er_HTT125||L1_DoubleEG6_HTT255,9500||0||6500||0||0||0||1||1||100||0||0||1||1||1||1||0||1||0||1||1||1||0||1||0||1,1,1,8326,23,1.57000,+/-,0.01721,1.62070,+/-,0.33794,0.05070,3.13%,+/-,20.23%,0.150025926054
HLT_L1FatEvents,"null","OnlineMonitor,ExpressPhysics,HLTPhysics",,,,,70,1,56136,15728,10.56000,+/-,0.04457,1108.27670,+/-,8.83713,1097.71670,99.05%,+/-,0.01%,124.216365733
HLT_TkMu24_eta2p1,"SMP","OnlineMonitor,SingleMuon",L1_SingleMu20er||L1_SingleMu22,1||1,L1_SingleMu20er||L1_SingleMu22,1||1,300,300,5332,15,1.00000,+/-,0.01369,0.00352,+/-,0.00091,0.99648,99.65%,+/-,1.37%,72.7632746811
HLT_Ele12_CaloIdL_TrackIdL_IsoVL,"HIG","OnlineMonitor,DoubleEG",L1_SingleEG10||L1_SingleEG15,6800||900,L1_SingleEG10||L1_SingleEG15,8000||1000,30,30,3773,15,0.71000,+/-,0.01156,0.03523,+/-,0.00910,0.67477,95.04%,+/-,1.63%,58.37664686
HLT_Ele25_eta2p1_WPLoose_Gsf,"EGM","OnlineMonitor,SingleElectron",L1_SingleEG30||L1_SingleEG32||L1_SingleEG34||L1_SingleEG36||L1_SingleEG38||L1_SingleEG40||L1_SingleIsoEG22er||L1_SingleIsoEG24er||L1_SingleIsoEG26er||L1_SingleIsoEG28er||L1_SingleIsoEG30er||L1_SingleIsoEG32er||L1_SingleIsoEG34er||L1_SingleIsoEG24||L1_SingleIsoEG26||L1_SingleIsoEG28||L1_SingleIsoEG30||L1_SingleIsoEG32||L1_SingleIsoEG34||L1_SingleIsoEG36,1||1||1||1||1||1||0||1||1||1||1||1||1||0||1||1||1||1||1||1,L1_SingleEG30||L1_SingleEG32||L1_SingleEG34||L1_SingleEG36||L1_SingleEG38||L1_SingleEG40||L1_SingleIsoEG22er||L1_SingleIsoEG24er||L1_SingleIsoEG26er||L1_SingleIsoEG28er||L1_SingleIsoEG30er||L1_SingleIsoEG32er||L1_SingleIsoEG34er||L1_SingleIsoEG24||L1_SingleIsoEG26||L1_SingleIsoEG28||L1_SingleIsoEG30||L1_SingleIsoEG32||L1_SingleIsoEG34||L1_SingleIsoEG36,1||1||1||1||1||1||0||0||1||1||1||1||1||0||0||1||1||1||1||1,0,0,0,0,0.00000,+/-,0.00000,0.00000,+/-,0.00000,0.00000,0.00%,+/-,0.00%,N/A
AlCa_EcalPhiSym,"EGM","OnlineMonitor,SingleElectron",L1_SingleEG30||L1_SingleEG32||L1_SingleEG34||L1_SingleEG36||L1_SingleEG38||L1_SingleEG40||L1_SingleIsoEG22er||L1_SingleIsoEG24er||L1_SingleIsoEG26er||L1_SingleIsoEG28er||L1_SingleIsoEG30er||L1_SingleIsoEG32er||L1_SingleIsoEG34er||L1_SingleIsoEG24||L1_SingleIsoEG26||L1_SingleIsoEG28||L1_SingleIsoEG30||L1_SingleIsoEG32||L1_SingleIsoEG34||L1_SingleIsoEG36,1||1||1||1||1||1||0||1||1||1||1||1||1||0||1||1||1||1||1||1,L1_SingleEG30||L1_SingleEG32||L1_SingleEG34||L1_SingleEG36||L1_SingleEG38||L1_SingleEG40||L1_SingleIsoEG22er||L1_SingleIsoEG24er||L1_SingleIsoEG26er||L1_SingleIsoEG28er||L1_SingleIsoEG30er||L1_SingleIsoEG32er||L1_SingleIsoEG34er||L1_SingleIsoEG24||L1_SingleIsoEG26||L1_SingleIsoEG28||L1_SingleIsoEG30||L1_SingleIsoEG32||L1_SingleIsoEG34||L1_SingleIsoEG36,1||1||1||1||1||1||0||0||1||1||1||1||1||0||0||1||1||1||1||1,0,0,0,0,0.00000,+/-,0.00000,0.00000,+/-,0.00000,0.00000,0.00%,+/-,0.00%,N/A
HLT_IsoMu22_eta2p1,"TAU,HIG","OnlineMonitor,SingleMuon",L1_SingleMu20er,1,L1_SingleMu20er,1,1,1,603061,1597,113.47000,+/-,0.14612,112.53293,+/-,2.81596,0.93707,0.83%,+/-,2.46%,0.332771371697
HLT_QuadPFJet_BTagCSV_p016_p11_VBF_Mqq240,"HIG ,Hbb","OnlineMonitor,HLTMonitor,BTagCSV",L1_TripleJet_84_68_48_VBF||L1_TripleJet_88_72_56_VBF||L1_TripleJet_92_76_64_VBF||L1_HTT280||L1_HTT300||L1_HTT320||L1_SingleJet170||L1_SingleJet180||L1_SingleJet200||L1_DoubleJetC100||L1_DoubleJetC112||L1_DoubleJetC120,1||1||1||1||1||1||1||1||1||1||1||1,L1_TripleJet_84_68_48_VBF||L1_TripleJet_88_72_56_VBF||L1_TripleJet_92_76_64_VBF||L1_HTT280||L1_HTT300||L1_HTT320||L1_SingleJet170||L1_SingleJet180||L1_SingleJet200||L1_DoubleJetC100||L1_DoubleJetC112||L1_DoubleJetC120,1||1||1||1||1||1||1||1||1||1||1||1,1,1,72529,174,13.65000,+/-,0.05068,12.26095,+/-,0.92950,1.38905,10.18%,+/-,6.13%,1.49441104168
HLT_DiPFJetAve300_HFJEC,"FSQ,JME","OnlineMonitor,JetHT",L1_SingleJet170||L1_SingleJet180||L1_SingleJet200,1||1||1,L1_SingleJet170||L1_SingleJet180||L1_SingleJet200,1||1||1,1,1,2455,10,0.46000,+/-,0.00928,0.70465,+/-,0.22283,0.24465,34.72%,+/-,20.69%,1.09792861769
HLT_Mu33NoFiltersNoVtxDisplaced_Photon33_CaloIdL,"EXO","OnlineMonitor,MuonEG",L1_Mu5_EG20||L1_MU20_EG15,1||1,L1_Mu5_EG20||L1_MU20_EG15,1||1,1,1,7226,16,1.36000,+/-,0.01600,1.12744,+/-,0.28186,0.23256,17.10%,+/-,17.22%,0.8250766355
HLT_BTagMu_DiJet170_Mu5,"BTV","OnlineMonitor,BTagMu",L1_Mu3_JetC120_dEta_Max0p4_dPhi_Max0p4,1,L1_Mu3_JetC120_dEta_Max0p4_dPhi_Max0p4,1,3,3,26183,65,4.93000,+/-,0.03047,1.52675,+/-,0.18937,3.40325,69.03%,+/-,1.34%,17.9714960955
HLT_TrkMu17_DoubleTrkMu8NoFiltersNoVtx,"EXO PAG","OnlineMonitor,DoubleMuon",L1_DoubleMu_11_4||L1_DoubleMu_12_5,1||1,L1_DoubleMu_11_4||L1_DoubleMu_12_5,1||1,1,1,4076,12,0.77000,+/-,0.01206,0.84558,+/-,0.24410,0.07558,8.94%,+/-,26.33%,0.309638884744
HLT_Photon75_R9Id90_HE10_Iso40_EBOnly_VBF,"HIG","OnlineMonitor,SinglePhoton",L1_SingleEG40,1,L1_SingleEG40,1,3,3,4111,10,0.77000,+/-,0.01201,0.23488,+/-,0.07428,0.53512,69.50%,+/-,3.33%,7.20434470531
HLT_Ele250_CaloIdVT_GsfTrkIdT,"AlCa","OnlineMonitor,ExpressPhysics,SingleElectron",L1_SingleEG30||L1_SingleEG32||L1_SingleEG34||L1_SingleEG36||L1_SingleEG38||L1_SingleEG40||L1_SingleJet170||L1_SingleJet180||L1_SingleJet200||L1_SingleTau100er||L1_SingleTau120er,1||1||1||1||1||1||1||1||1||1||1,L1_SingleEG30||L1_SingleEG32||L1_SingleEG34||L1_SingleEG36||L1_SingleEG38||L1_SingleEG40||L1_SingleJet170||L1_SingleJet180||L1_SingleJet200||L1_SingleTau100er||L1_SingleTau120er,1||1||1||1||1||1||1||1||1||1||1,1,1,2862,9,0.54000,+/-,0.01009,0.63419,+/-,0.21140,0.09419,14.85%,+/-,28.43%,0.445547663551
HLT_CaloMHTNoPU90_PFMET90_PFMHT90_IDTight,"HIG ,Hbb","OnlineMonitor,MET",L1_ETM50||L1_ETM60||L1_ETM70||L1_ETM75||L1_ETM80||L1_ETM85||L1_ETM90||L1_ETM95||L1_ETM100||L1_ETM75_Jet60_dPhi_Min0p4||L1_DoubleJetC60_ETM60,0||100||0||1||1||1||1||1||1||1||1,L1_ETM50||L1_ETM60||L1_ETM70||L1_ETM75||L1_ETM80||L1_ETM85||L1_ETM90||L1_ETM95||L1_ETM100||L1_ETM75_Jet60_dPhi_Min0p4||L1_DoubleJetC60_ETM60,0||150||0||0||1||0||1||0||1||0||1,40,40,2546,7,0.48000,+/-,0.00951,0.01233,+/-,0.00466,0.46767,97.43%,+/-,1.98%,49.1616175988
HLT_Mu15_IsoVVVL_PFHT400_PFMET50,"SUS","OnlineMonitor,SingleMuon",L1_SingleMuOpen,16000,L1_SingleMuOpen,20000,1,1,10374,29,1.95000,+/-,0.01915,2.04349,+/-,0.37947,0.09349,4.58%,+/-,17.74%,0.246374326999
HLT_DoubleEle8_CaloIdM_TrackIdM_Mass8_PFHT250,"null","OnlineMonitor,DoubleEG",L1_DoubleEG6_HTT255||L1_HTT160||L1_HTT200||L1_HTT220||L1_HTT240||L1_HTT255||L1_HTT270||L1_HTT280||L1_HTT300||L1_HTT320,1||7500||0||5000||0||1||1||1||1||1,L1_DoubleEG6_HTT255||L1_HTT160||L1_HTT200||L1_HTT220||L1_HTT240||L1_HTT255||L1_HTT270||L1_HTT280||L1_HTT300||L1_HTT320,1||9500||0||6500||0||0||0||1||1||1,0,0,0,0,0.00000,+/-,0.00000,0.00000,+/-,0.00000,0.00000,0.00%,+/-,0.00%,N/A
HLT_BTagMu_DiJet110_Mu5,"BTV","OnlineMonitor,BTagMu",L1_Mu3_JetC60_dEta_Max0p4_dPhi_Max0p4,12,L1_Mu3_JetC60_dEta_Max0p4_dPhi_Max0p4,15,1,1,30444,75,5.73000,+/-,0.03284,5.28489,+/-,0.61025,0.44511,7.77%,+/-,9.84%,0.729393466138
HLT_SingleCentralPFJet170_CFMax0p1,"EXO.","OnlineMonitor,JetHT",L1_SingleJet120||L1_SingleJet140||L1_SingleJet150||L1_SingleJet160||L1_SingleJet170||L1_SingleJet180||L1_SingleJet200,42||0||1||1||1||1||1,L1_SingleJet120||L1_SingleJet140||L1_SingleJet150||L1_SingleJet160||L1_SingleJet170||L1_SingleJet180||L1_SingleJet200,100||0||0||1||1||1||1,87,87,3978,12,0.75000,+/-,0.01189,0.00972,+/-,0.00281,0.74028,98.70%,+/-,1.59%,62.2540385879
HLT_Photon36_R9Id90_HE10_Iso40_EBOnly_VBF,"HIG","OnlineMonitor,SinglePhoton",L1_SingleIsoEG30||L1_SingleIsoEG32||L1_SingleIsoEG34,1||1||1,L1_SingleIsoEG30||L1_SingleIsoEG32||L1_SingleIsoEG34,1||1||1,32,32,2626,8,0.49000,+/-,0.00956,0.01762,+/-,0.00623,0.47238,96.40%,+/-,1.95%,49.4021879805
AlCa_RPCMuonNoTriggers,"HIG","OnlineMonitor,SinglePhoton",L1_SingleIsoEG30||L1_SingleIsoEG32||L1_SingleIsoEG34,1||1||1,L1_SingleIsoEG30||L1_SingleIsoEG32||L1_SingleIsoEG34,1||1||1,32,32,2626,8,0.49000,+/-,0.00956,0.01762,+/-,0.00623,0.47238,96.40%,+/-,1.95%,49.4021879805
HLT_Photon500,"PPD","OnlineMonitor,ExpressPhysics,SinglePhoton",L1_SingleEG30||L1_SingleEG32||L1_SingleEG34||L1_SingleEG36||L1_SingleEG38||L1_SingleEG40||L1_SingleJet170||L1_SingleJet180||L1_SingleJet200||L1_SingleTau100er||L1_SingleTau120er,1||1||1||1||1||1||1||1||1||1||1,L1_SingleEG30||L1_SingleEG32||L1_SingleEG34||L1_SingleEG36||L1_SingleEG38||L1_SingleEG40||L1_SingleJet170||L1_SingleJet180||L1_SingleJet200||L1_SingleTau100er||L1_SingleTau120er,1||1||1||1||1||1||1||1||1||1||1,1,1,268,2,0.05000,+/-,0.00305,0.14093,+/-,0.09965,0.09093,64.52%,+/-,25.18%,0.912471737559
HLT_ZeroBias_IsolatedBunches,"null","OnlineMonitor,ExpressPhysics,ZeroBias",L1_IsolatedBunch,11,L1_IsolatedBunch,23,50,50,0,0,0.00000,+/-,0.00000,0.00000,+/-,0.00000,0.00000,0.00%,+/-,0.00%,N/A
HLT_Photon42_R9Id85_OR_CaloId24b40e_Iso50T80L_Photon25_AND_HE10_R9Id65_Eta2_Mass15,"EXO long","OnlineMonitor,DoubleEG",L1_SingleEG30||L1_SingleEG32||L1_SingleEG34||L1_SingleEG36||L1_SingleEG28||L1_SingleEG40||L1_DoubleEG_15_10||L1_DoubleEG_18_17||L1_DoubleEG_20_18||L1_DoubleEG_22_10||L1_DoubleEG_22_12||L1_DoubleEG_22_15||L1_DoubleEG_23_10||L1_DoubleEG_24_17||L1_DoubleEG_25_12,1||1||1||1||0||1||0||1||1||1||1||1||1||1||1,L1_SingleEG30||L1_SingleEG32||L1_SingleEG34||L1_SingleEG36||L1_SingleEG28||L1_SingleEG40||L1_DoubleEG_15_10||L1_DoubleEG_18_17||L1_DoubleEG_20_18||L1_DoubleEG_22_10||L1_DoubleEG_22_12||L1_DoubleEG_22_15||L1_DoubleEG_23_10||L1_DoubleEG_24_17||L1_DoubleEG_25_12,1||1||1||1||0||1||0||1||1||1||1||1||1||1||0,1,1,55879,140,10.51000,+/-,0.04446,9.86513,+/-,0.83376,0.64487,6.14%,+/-,7.46%,0.773454211268
HLT_IsoTkMu24,"SMP,MUO","OnlineMonitor,SingleMuon",L1_SingleMu22,1,L1_SingleMu22,1,1,1,532535,1388,100.20000,+/-,0.13731,97.80570,+/-,2.62524,2.39430,2.39%,+/-,2.56%,0.912029847826
HLT_PFHT300_PFMET100,"SUS,EXO","OnlineMonitor,HTMHT",L1_HTT160||L1_HTT200||L1_HTT220||L1_HTT240||L1_HTT255||L1_HTT270||L1_HTT280||L1_HTT300||L1_HTT320,7500||0||5000||0||1||1||1||1||1,L1_HTT160||L1_HTT200||L1_HTT220||L1_HTT240||L1_HTT255||L1_HTT270||L1_HTT280||L1_HTT300||L1_HTT320,9500||0||6500||0||0||0||1||1||1,0,0,0,0,0.00000,+/-,0.00000,0.00000,+/-,0.00000,0.00000,0.00%,+/-,0.00%,N/A
HLT_IsoTkMu27,"SMP","OnlineMonitor,SingleMuon",L1_SingleMu22||L1_SingleMu25,1||1,L1_SingleMu22||L1_SingleMu25,1||1,1,1,446878,1182,84.08000,+/-,0.12578,83.28987,+/-,2.42261,0.79013,0.94%,+/-,2.86%,0.326148783117
HLT_IsoTkMu20,"SMP,MUO","OnlineMonitor,SingleMuon",L1_SingleMu18,1,L1_SingleMu18,100,0,0,0,0,0.00000,+/-,0.00000,0.00000,+/-,0.00000,0.00000,0.00%,+/-,0.00%,N/A
HLT_Ele30WP60_SC4_Mass55,"HIG","OnlineMonitor,DoubleEG",L1_SingleEG30||L1_SingleEG32||L1_SingleEG34||L1_SingleEG36||L1_SingleEG38||L1_SingleEG40||L1_SingleIsoEG22er||L1_SingleIsoEG24er||L1_SingleIsoEG26er||L1_SingleIsoEG28er||L1_SingleIsoEG30er||L1_SingleIsoEG32er||L1_SingleIsoEG34er||L1_SingleIsoEG24||L1_SingleIsoEG26||L1_SingleIsoEG28||L1_SingleIsoEG30||L1_SingleIsoEG32||L1_SingleIsoEG34||L1_SingleIsoEG36,1||1||1||1||1||1||0||1||1||1||1||1||1||0||1||1||1||1||1||1,L1_SingleEG30||L1_SingleEG32||L1_SingleEG34||L1_SingleEG36||L1_SingleEG38||L1_SingleEG40||L1_SingleIsoEG22er||L1_SingleIsoEG24er||L1_SingleIsoEG26er||L1_SingleIsoEG28er||L1_SingleIsoEG30er||L1_SingleIsoEG32er||L1_SingleIsoEG34er||L1_SingleIsoEG24||L1_SingleIsoEG26||L1_SingleIsoEG28||L1_SingleIsoEG30||L1_SingleIsoEG32||L1_SingleIsoEG34||L1_SingleIsoEG36,1||1||1||1||1||1||0||0||1||1||1||1||1||0||0||1||1||1||1||1,0,0,0,0,0.00000,+/-,0.00000,0.00000,+/-,0.00000,0.00000,0.00%,+/-,0.00%,N/A
HLT_IsoTkMu22,"SMP,MUO","OnlineMonitor,SingleMuon",L1_SingleMu20,1,L1_SingleMu20,1,1,1,616135,1607,115.93000,+/-,0.14769,113.23758,+/-,2.82477,2.69242,2.32%,+/-,2.38%,0.953147732112
HLT_PFHT250_DiPFJetAve90_PFAlphaT0p58,"SUS","OnlineMonitor,HTMHT",L1_HTT160||L1_HTT200||L1_HTT220||L1_HTT240||L1_HTT255||L1_HTT270||L1_HTT280||L1_HTT300||L1_ETM50||L1_ETM60||L1_ETM70||L1_ETM80||L1_ETM90||L1_ETM100,7500||0||5000||0||1||1||1||1||0||100||0||1||1||1,L1_HTT160||L1_HTT200||L1_HTT220||L1_HTT240||L1_HTT255||L1_HTT270||L1_HTT280||L1_HTT300||L1_ETM50||L1_ETM60||L1_ETM70||L1_ETM80||L1_ETM90||L1_ETM100,9500||0||6500||0||0||0||1||1||0||150||0||1||1||1,1,1,30086,85,5.66000,+/-,0.03263,5.98954,+/-,0.64966,0.32954,5.50%,+/-,10.26%,0.507255585369
HLT_AK8PFHT600_TrimR0p1PT0p03Mass50_BTagCSV_p20,"B2G","OnlineMonitor,JetHT",L1_HTT240||L1_HTT255||L1_HTT270||L1_HTT280||L1_HTT300||L1_HTT320,0||1||1||1||1||1,L1_HTT240||L1_HTT255||L1_HTT270||L1_HTT280||L1_HTT300||L1_HTT320,0||0||0||1||1||1,0,0,0,0,0.00000,+/-,0.00000,0.00000,+/-,0.00000,0.00000,0.00%,+/-,0.00%,N/A
HLT_DiMu9_Ele9_CaloIdL_TrackIdL,"HIG","OnlineMonitor,MuonEG",L1_DoubleMu7_EG7,1,L1_DoubleMu7_EG7,1,1,1,9065,29,1.71000,+/-,0.01796,2.04349,+/-,0.37947,0.33349,16.32%,+/-,15.56%,0.87884084763
HLT_PFJet260,"JetMET","OnlineMonitor,JetHT",L1_SingleJet170||L1_SingleJet180||L1_SingleJet200,1||1||1,L1_SingleJet170||L1_SingleJet180||L1_SingleJet200,1||1||1,91,91,9773,23,1.84000,+/-,0.01861,0.01781,+/-,0.00371,1.82219,99.03%,+/-,1.01%,97.9016051677
