Path,Group,Dataset,L1Path,L1Prescale(9.5e33),Steam L1path,Steam L1Prescale,WBM hltPrescale(9.5e33),Steam hltPrescale,Wbm Count,Steam Count,,Data Rate (Hz),,,Steam Rate (Hz),,abs(Data-Steam)(Hz),,Bias : (data-steam)/max(data;steam),,Pull
HLT_L1MinimumBiasHF_AND,"null","OnlineMonitor,L1MinimumBias",L1_MinimumBiasHF0_AND_BptxAND,1,L1_MinimumBiasHF0_AND_BptxAND,1,0,0,0,0,0.00000,+/-,0.00000,0.00000,+/-,0.00000,0.00000,0.00%,+/-,0.00%,N/A
HLT_PFMETNoMu110_PFMHTNoMu110_IDTight,"EXO,SUS","OnlineMonitor,MET",L1_ETM50||L1_ETM60||L1_ETM70||L1_ETM75||L1_ETM80||L1_ETM85||L1_ETM90||L1_ETM95||L1_ETM100||L1_ETM75_Jet60_dPhi_Min0p4||L1_DoubleJetC60_ETM60,0||100||0||1||1||1||1||1||1||1||1,L1_ETM50||L1_ETM60||L1_ETM70||L1_ETM75||L1_ETM80||L1_ETM85||L1_ETM90||L1_ETM95||L1_ETM100||L1_ETM75_Jet60_dPhi_Min0p4||L1_DoubleJetC60_ETM60,0||150||0||0||1||0||1||0||1||0||1,1,1,52533,152,9.88000,+/-,0.04311,10.71071,+/-,0.86875,0.83071,7.76%,+/-,7.49%,0.956210073405
HLT_Ele27_WPTight_Gsf,"EGM","OnlineMonitor,HLTMonitor,SingleElectron",L1_SingleEG30||L1_SingleEG32||L1_SingleEG34||L1_SingleEG36||L1_SingleEG38||L1_SingleEG40||L1_SingleIsoEG22er||L1_SingleIsoEG24er||L1_SingleIsoEG26er||L1_SingleIsoEG28er||L1_SingleIsoEG30er||L1_SingleIsoEG32er||L1_SingleIsoEG34er||L1_SingleIsoEG24||L1_SingleIsoEG26||L1_SingleIsoEG28||L1_SingleIsoEG30||L1_SingleIsoEG32||L1_SingleIsoEG34||L1_SingleIsoEG36,1||1||1||1||1||1||0||1||1||1||1||1||1||0||1||1||1||1||1||1,L1_SingleEG30||L1_SingleEG32||L1_SingleEG34||L1_SingleEG36||L1_SingleEG38||L1_SingleEG40||L1_SingleIsoEG22er||L1_SingleIsoEG24er||L1_SingleIsoEG26er||L1_SingleIsoEG28er||L1_SingleIsoEG30er||L1_SingleIsoEG32er||L1_SingleIsoEG34er||L1_SingleIsoEG24||L1_SingleIsoEG26||L1_SingleIsoEG28||L1_SingleIsoEG30||L1_SingleIsoEG32||L1_SingleIsoEG34||L1_SingleIsoEG36,1||1||1||1||1||1||0||0||1||1||1||1||1||0||0||1||1||1||1||1,1,1,540934,1495,101.78000,+/-,0.13839,105.34548,+/-,2.72455,3.56548,3.38%,+/-,2.50%,1.30864650081
HLT_Dimuon6_Jpsi_NoVertexing,"BPH","OnlineMonitor,Charmonium",L1_DoubleMu0,250,L1_DoubleMu0,300,1,1,5599,21,1.05000,+/-,0.01403,1.47977,+/-,0.32291,0.42977,29.04%,+/-,15.51%,1.33091703082
HLT_DiPFJetAve25_HFJEC,"FSQ,JME","OnlineMonitor,FSQJets",L1_SingleJet12_BptxAND,0,L1_SingleJet12_BptxAND,0,0,0,0,0,0.00000,+/-,0.00000,0.00000,+/-,0.00000,0.00000,0.00%,+/-,0.00%,N/A
HLT_Ele27_eta2p1_WPLoose_Gsf_DoubleMediumIsoPFTau40_Trk1_eta2p1_Reg,"TAU,HIG,EXO","OnlineMonitor,SingleElectron",L1_SingleEG30||L1_SingleEG32||L1_SingleEG34||L1_SingleEG36||L1_SingleEG38||L1_SingleEG40||L1_SingleIsoEG22er||L1_SingleIsoEG24er||L1_SingleIsoEG26er||L1_SingleIsoEG28er||L1_SingleIsoEG30er||L1_SingleIsoEG32er||L1_SingleIsoEG34er||L1_SingleIsoEG24||L1_SingleIsoEG26||L1_SingleIsoEG28||L1_SingleIsoEG30||L1_SingleIsoEG32||L1_SingleIsoEG34||L1_SingleIsoEG36,1||1||1||1||1||1||0||1||1||1||1||1||1||0||1||1||1||1||1||1,L1_SingleEG30||L1_SingleEG32||L1_SingleEG34||L1_SingleEG36||L1_SingleEG38||L1_SingleEG40||L1_SingleIsoEG22er||L1_SingleIsoEG24er||L1_SingleIsoEG26er||L1_SingleIsoEG28er||L1_SingleIsoEG30er||L1_SingleIsoEG32er||L1_SingleIsoEG34er||L1_SingleIsoEG24||L1_SingleIsoEG26||L1_SingleIsoEG28||L1_SingleIsoEG30||L1_SingleIsoEG32||L1_SingleIsoEG34||L1_SingleIsoEG36,1||1||1||1||1||1||0||0||1||1||1||1||1||0||0||1||1||1||1||1,1,1,11907,27,2.24000,+/-,0.02053,1.90256,+/-,0.36615,0.33744,15.06%,+/-,13.91%,0.921593478671
HLT_PFMET300,"PPD","OnlineMonitor,MET",L1_ETM60||L1_ETM70||L1_ETM80||L1_ETM90||L1_ETM100||L1_ETM120,100||0||1||1||1||1,L1_ETM60||L1_ETM70||L1_ETM80||L1_ETM90||L1_ETM100||L1_ETM120,150||0||1||1||1||1,1,1,3383,11,0.64000,+/-,0.01100,0.77512,+/-,0.23371,0.13512,17.43%,+/-,24.94%,0.578148848588
HLT_AK8PFJet140,"SMP","OnlineMonitor,JetHT",L1_SingleJet90,850,L1_SingleJet90,1200,6,6,4997,19,0.94000,+/-,0.01330,0.22314,+/-,0.05119,0.71686,76.26%,+/-,1.92%,14.0034231884
HLT_Mu7p5_L2Mu2_Jpsi,"BPH","OnlineMonitor,Charmonium",L1_DoubleMu0,250,L1_DoubleMu0,300,1,1,3818,14,0.72000,+/-,0.01165,0.98651,+/-,0.26366,0.26651,27.02%,+/-,19.54%,1.01083297139
HLT_ECALHT800," ","OnlineMonitor,DoubleEG",L1_HTT300||L1_ETM70||L1_ETM80||L1_ETM90,1||0||1||1,L1_HTT300||L1_ETM70||L1_ETM80||L1_ETM90,1||0||1||1,1,1,2219,8,0.42000,+/-,0.00892,0.56372,+/-,0.19931,0.14372,25.50%,+/-,26.39%,0.721111460539
