Path,L1Path,L1Prescale(9.5e33),Steam L1path,Steam L1Prescale,WBM hltPrescale(9.5e33),Steam hltPrescale,Wbm Count,Steam Count,,Data Rate (Hz),,,Steam Rate (Hz),,abs(Data-Steam)(Hz),,Bias : (data-steam)/max(data;steam),,Pull
HLT_Dimuon6_Jpsi_NoVertexing,L1_DoubleMu0,600,L1_DoubleMu0,600,1,1,5599,5599,1.05000,+/-,0.01403,1.05000,+/-,0.01403,0.00000,0.00%,+/-,1.89%,0.0
HLT_DiPFJetAve25_HFJEC,L1_SingleJet12_BptxAND,0,L1_SingleJet12_BptxAND,0,0,0,0,0,0.00000,+/-,0.00000,0.00000,+/-,0.00000,0.00000,0.00%,+/-,0.00%,N/A
HLT_Ele27_eta2p1_WPLoose_Gsf_DoubleMediumIsoPFTau40_Trk1_eta2p1_Reg,L1_SingleEG30||L1_SingleEG32||L1_SingleEG34||L1_SingleEG36||L1_SingleEG38||L1_SingleEG40||L1_SingleIsoEG22er||L1_SingleIsoEG24er||L1_SingleIsoEG26er||L1_SingleIsoEG28er||L1_SingleIsoEG30er||L1_SingleIsoEG32er||L1_SingleIsoEG34er||L1_SingleIsoEG24||L1_SingleIsoEG26||L1_SingleIsoEG28||L1_SingleIsoEG30||L1_SingleIsoEG32||L1_SingleIsoEG34||L1_SingleIsoEG36,0||0||0||1||1||1||0||0||0||0||0||1||1||0||0||0||0||0||1||1,L1_SingleEG30||L1_SingleEG32||L1_SingleEG34||L1_SingleEG36||L1_SingleEG38||L1_SingleEG40||L1_SingleIsoEG22er||L1_SingleIsoEG24er||L1_SingleIsoEG26er||L1_SingleIsoEG28er||L1_SingleIsoEG30er||L1_SingleIsoEG32er||L1_SingleIsoEG34er||L1_SingleIsoEG24||L1_SingleIsoEG26||L1_SingleIsoEG28||L1_SingleIsoEG30||L1_SingleIsoEG32||L1_SingleIsoEG34||L1_SingleIsoEG36,0||0||0||1||1||1||0||0||0||0||0||1||1||0||0||0||0||0||1||1,1,1,11907,11907,2.24000,+/-,0.02053,2.24000,+/-,0.02053,0.00000,0.00%,+/-,1.30%,0.0
HLT_PFMET300,L1_ETM60||L1_ETM70||L1_ETM80||L1_ETM90||L1_ETM100||L1_ETM120,250||0||0||1||1||1,L1_ETM60||L1_ETM70||L1_ETM80||L1_ETM90||L1_ETM100||L1_ETM120,250||0||0||1||1||1,1,1,3383,3383,0.64000,+/-,0.01100,0.64000,+/-,0.01100,0.00000,0.00%,+/-,2.43%,0.0
HLT_AK8PFJet140,L1_SingleJet90,3000,L1_SingleJet90,3000,2,2,4997,4997,0.94000,+/-,0.01330,0.94000,+/-,0.01330,0.00000,0.00%,+/-,2.00%,0.0
HLT_Mu7p5_L2Mu2_Jpsi,L1_DoubleMu0,600,L1_DoubleMu0,600,1,1,3818,3818,0.72000,+/-,0.01165,0.72000,+/-,0.01165,0.00000,0.00%,+/-,2.29%,0.0
HLT_ECALHT800,L1_HTT300||L1_ETM70||L1_ETM80||L1_ETM90,1||0||0||1,L1_HTT300||L1_ETM70||L1_ETM80||L1_ETM90,1||0||0||1,1,1,2219,2219,0.42000,+/-,0.00892,0.42000,+/-,0.00892,0.00000,0.00%,+/-,3.00%,0.0
HLT_ZeroBias_FirstBXAfterTrain,L1_FirstBunchAfterTrain,25301,L1_FirstBunchAfterTrain,25301,1,1,101697,101697,19.13000,+/-,0.05999,19.13000,+/-,0.05999,0.00000,0.00%,+/-,0.44%,0.0
HLT_Ele27_HighEta_Ele20_Mass55,L1_SingleEG30||L1_SingleEG32||L1_SingleEG34||L1_SingleEG36||L1_SingleEG28||L1_SingleEG40||L1_DoubleEG_15_10||L1_DoubleEG_18_17||L1_DoubleEG_20_18||L1_DoubleEG_22_10||L1_DoubleEG_22_12||L1_DoubleEG_22_15||L1_DoubleEG_23_10||L1_DoubleEG_24_17||L1_DoubleEG_25_12,0||0||0||1||0||1||0||0||0||0||0||0||0||1||1,L1_SingleEG30||L1_SingleEG32||L1_SingleEG34||L1_SingleEG36||L1_SingleEG28||L1_SingleEG40||L1_DoubleEG_15_10||L1_DoubleEG_18_17||L1_DoubleEG_20_18||L1_DoubleEG_22_10||L1_DoubleEG_22_12||L1_DoubleEG_22_15||L1_DoubleEG_23_10||L1_DoubleEG_24_17||L1_DoubleEG_25_12,0||0||0||1||0||1||0||0||0||0||0||0||0||1||1,1,1,10616,10616,2.00000,+/-,0.01941,2.00000,+/-,0.01941,0.00000,0.00%,+/-,1.37%,0.0
HLT_Ele12_CaloIdL_TrackIdL_IsoVL_PFJet30,L1_SingleEG10||L1_SingleEG15,80000||3000,L1_SingleEG10||L1_SingleEG15,80000||3000,3,3,5934,5934,1.12000,+/-,0.01454,1.12000,+/-,0.01454,0.00000,0.00%,+/-,1.84%,0.0
