Path,L1Path,L1Prescale(2e33),Steam L1path,Steam L1Prescale,WBM hltPrescale(2e33),Steam hltPrescale,,Data Rate (Hz),,,Steam Rate (Hz),,,Steam Rate hltPrescaled(Hz),,,Bias(data-steam)
HLT_Mu50,L1_SingleMu16 OR L1_SingleMu25,1 | 1,L1_SingleMu16 OR L1_SingleMu25, 1|1,1,1,4.91,+/-,0.01,4.74,+/-,0.22,4.74,+/-,0.22,3.63%,+/-,4.33%
HLT_AK8PFHT650_TrimR0p1PT0p03Mass50,L1_HTT175 OR L1_HTT150,1 | 1,L1_HTT150 OR L1_HTT175, 1|1,1,1,4.84,+/-,0.01,4.45,+/-,0.21,4.45,+/-,0.21,8.01%,+/-,4.07%
HLT_MonoCentralPFJet80_PFMETNoMu90_JetIdCleaned_PFMHTNoMu90_IDTight,L1_ETM70,1,L1_ETM70 OR L1_DoubleJetC56_ETM60 OR L1_ETM60 OR L1_ETM50, 1|1|1|1,1,1,4.80,+/-,0.01,4.02,+/-,0.20,4.02,+/-,0.20,16.35%,+/-,3.55%
HLT_Ele27_WPLoose_Gsf_CentralPFJet30_BTagCSV07,L1_SingleIsoEG20 OR L1_SingleIsoEG20er,1 | 4,L1_SingleIsoEG20er OR L1_SingleEG20 OR L1_SingleEG25, 4|1|1,1,1,4.76,+/-,0.01,4.40,+/-,0.21,4.40,+/-,0.21,7.64%,+/-,4.13%
HLT_AK8PFHT600_TrimR0p1PT0p03Mass50_BTagCSV0p45,L1_HTT175 OR L1_HTT150,1 | 1,L1_HTT150 OR L1_HTT175, 1|1,1,1,4.76,+/-,0.01,4.64,+/-,0.22,4.64,+/-,0.22,2.36%,+/-,4.49%
HLT_DoubleMediumIsoPFTau40_Trk1_eta2p1_Reg,L1_DoubleIsoTau28er,1,L1_DoubleIsoTau28er OR L1_DoubleIsoTau32er OR L1_DoubleIsoTau36er OR L1_DoubleIsoTau40er OR L1_DoubleTauJet40er, 1|1|1|1|1,1,1,4.67,+/-,0.01,4.24,+/-,0.21,4.24,+/-,0.21,9.12%,+/-,4.07%
HLT_PFMET170,L1_ETM60 OR L1_ETM70,1 | 1,L1_ETM60 OR L1_ETM70, 1|1,1,1,4.58,+/-,0.01,4.50,+/-,0.21,4.50,+/-,0.21,1.84%,+/-,4.61%
HLT_PFMET170_HBHECleaned,L1_ETM60 OR L1_ETM70,1 | 1,L1_ETM60 OR L1_ETM70, 1|1,1,1,4.51,+/-,0.01,4.42,+/-,0.21,4.42,+/-,0.21,2.05%,+/-,4.63%
HLT_PFHT200_DiPFJetAve90_PFAlphaT0p57,L1_HTT100 OR L1_HTT75,1 | 1,L1_HTT75 OR L1_HTT100 OR L1_HTT125 OR L1_HTT150 OR L1_HTT175 OR L1_HTT200 OR L1_HTT250 OR L1_ETM40 OR L1_ETM50 OR L1_ETM60 OR L1_ETM70 OR L1_ETM100, 1|1|1|1|1|1|1|2000|1|1|1|1,1,1,4.50,+/-,0.01,4.64,+/-,0.22,4.64,+/-,0.22,3.06%,+/-,4.56%
HLT_Ele15_IsoVVVL_PFHT350,L1_SingleEG5,262139,L1_HTT100 OR L1_HTT125 OR L1_HTT150 OR L1_HTT175, 1|1|1|1,1,1,4.46,+/-,0.01,4.32,+/-,0.21,4.32,+/-,0.21,3.27%,+/-,4.57%
HLT_Ele30WP60_Ele8_Mass55,L1_SingleEG25,1,L1_SingleEG25 OR L1_SingleIsoEG30er, 1|1,1,1,4.26,+/-,0.01,4.39,+/-,0.21,4.39,+/-,0.21,2.79%,+/-,4.71%
HLT_PFMET90_PFMHT90_IDTight,L1_ETM70,1,L1_ETM70 OR L1_DoubleJetC56_ETM60 OR L1_ETM60 OR L1_ETM50, 1|1|1|1,1,1,4.19,+/-,0.01,4.24,+/-,0.21,4.24,+/-,0.21,1.31%,+/-,4.86%
