Prescale,Path,Dataset,Group,,Total,,,HLTPhysics0,,,HLTPhysics1,
0,HLT_Ele27_eta2p1_WPLoose_Gsf_DoubleMediumIsoPFTau32_Trk1_eta2p1_Reg_v6,"OnlineMonitor,SingleElectron","TAU,HIG,EXO",0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00
0,HLT_HISinglePhoton10_v3,"OnlineMonitor,HINPhoton",HIN,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00
0,HLT_MonoCentralPFJet80_PFMETNoMu90_PFMHTNoMu90_IDTight_v5,"OnlineMonitor,MET",EXO,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00
0,HLT_Dimuon0er16_Jpsi_NoVertexing_v3,"OnlineMonitor,Charmonium",BPH,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00
50,HLT_ZeroBias_IsolatedBunches_v3,"OnlineMonitor,ExpressPhysics,ZeroBias",null,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00
0,HLT_PFHT300_PFMET100_v4,"OnlineMonitor,HTMHT","SUS,EXO",0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00
0,HLT_ZeroBias_FirstCollisionAfterAbortGap_copy_v1,"OnlineMonitor,ExpressPhysics,ZeroBias",null,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00
0,HLT_PFMET100_PFMHT100_IDTight_v5,"OnlineMonitor,MET","HIG,Hbb",0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00
0,HLT_PFMETNoMu100_PFMHTNoMu100_IDTight_v5,"OnlineMonitor,MET","EXO,SUS",0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00
0,HLT_HT200_DisplacedDijet40_DisplacedTrack_v3,"OnlineMonitor,DisplacedJet",EXO,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00
2,HLT_Mu7p5_Track7_Upsilon_v3,"OnlineMonitor,MuOnia",BPH,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00
0,HLT_IsoTkMu22_v4,"OnlineMonitor,SingleMuon","SMP,MUO",0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00
0,HLT_L1SingleMuOpen_v3,"OnlineMonitor,SingleMuon",null,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00
0,HLT_Ele23_WPLoose_Gsf_v8,"OnlineMonitor,SingleElectron","SMP,Top,HIG",0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00
1,HLT_Random_v2,"OnlineMonitor,ExpressPhysics,ZeroBias",null,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00
0,HLT_LooseIsoPFTau50_Trk30_eta2p1_MET80_v3,"OnlineMonitor,Tau","TAU,HIG",0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00
0,HLT_MonoCentralPFJet80_PFMETNoMu100_PFMHTNoMu100_IDTight_v5,"OnlineMonitor,MET",EXO,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00
0,HLT_PFMET100_PFMHT100_IDTight_BeamHaloCleaned_v2,"OnlineMonitor,MET",JME,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00
0,HLT_HISinglePhoton20_v3,"OnlineMonitor,HINPhoton",HIN,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00
0,HLT_Mu17_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v7,"OnlineMonitor,MuonEG",HIG,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00
0,HLT_Ele22_eta2p1_WPLoose_Gsf_v8,"OnlineMonitor,SingleElectron","TAU,HIG",0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00
0,HLT_L1BeamGasPlus_v2,"OnlineMonitor,Commissioning",null,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00
0,HLT_Ele23_WPLoose_Gsf_WHbbBoost_v7,"OnlineMonitor,SingleElectron",null,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00
0,HLT_Mu45_eta2p1_v4,"OnlineMonitor,SingleMuon","EXO,SMP,MUO",0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00
0,HLT_VBF_DisplacedJet40_Hadronic_v3,"OnlineMonitor,DisplacedJet",EXO,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00
0,HLT_Mu30_eta2p1_PFJet150_PFJet50_v3,"OnlineMonitor,SingleMuon",B2G,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00
0,HLT_DoubleMu8_Mass8_PFHT250_v4,"OnlineMonitor,DoubleMuon",null,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00
0,HLT_Ele27_WPLoose_Gsf_v6,"OnlineMonitor,SingleElectron","EGM,Top,SMP,HIG",0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00
0,HLT_Photon36_R9Id90_HE10_Iso40_EBOnly_PFMET40_v7,"OnlineMonitor,SinglePhoton",HIG,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00
0,HLT_L1BptxMinus_v2,"OnlineMonitor,EmptyBX",null,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00
0,HLT_VLooseIsoPFTau120_Trk50_eta2p1_v3,"OnlineMonitor,Tau",null,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00
0,HLT_DiPFJetAve25_HFJEC_v4,"OnlineMonitor,FSQJets","FSQ,JME",0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00
0,HLT_FullTracks_Multiplicity150_v2,"OnlineMonitor,HighMultiplicityEOF","FSQ,HIN",0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00
0,HLT_Dimuon0_Phi_Barrel_v5,"OnlineMonitor,MuOnia",BPH,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00
1,HLT_ZeroBias_FirstCollisionAfterAbortGap_TCDS_v1,"OnlineMonitor,ExpressPhysics,ZeroBias",null,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00
0,HLT_AK4CaloJet40_v3,"OnlineMonitor,HINCaloJets",HIN,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00
0,HLT_L1SingleMuOpen_DT_v3,"OnlineMonitor,Commissioning",null,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00
0,HLT_AK8DiPFJet250_200_TrimMass30_BTagCSV_p20_v3,"OnlineMonitor,JetHT","B2G,PAG",0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00
0,HLT_PFHT200_DiPFJetAve90_PFAlphaT0p57_v5,"OnlineMonitor,HTMHT",SUS,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00
0,HLT_AK4CaloJet80_v3,"OnlineMonitor,HINCaloJets",HIN,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00
0,HLT_HT550_DisplacedDijet40_Inclusive_v4,"OnlineMonitor,DisplacedJet",EXO,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00
0,HLT_PFJet25_NoCaloMatched_v3,"OnlineMonitor,FSQJets",FSQ,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00
0,HLT_HISinglePhoton40_v3,"OnlineMonitor,HINPhoton",HIN,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00
0,HLT_AK8PFHT650_TrimR0p1PT0p03Mass50_v5,"OnlineMonitor,JetHT",B2G,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00
0,HLT_AK4CaloJet50_v3,"OnlineMonitor,HINCaloJets",HIN,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00
1,HLT_EcalCalibration_v3,"TestEnablesEcalHcal,TestEnablesEcalHcalDQM,EcalLaser",null,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00
0,HLT_L1BeamGasMinus_v2,"OnlineMonitor,Commissioning",null,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00
0,HLT_Ele15_IsoVVVL_PFHT350_PFMET50_v6,"OnlineMonitor,SingleElectron",SUS,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00
0,HLT_Ele35_WPLoose_Gsf_v6,"OnlineMonitor,SingleElectron",EGM,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00
0,HLT_QuadPFJet_BTagCSV_p016_VBF_Mqq460_v3,"OnlineMonitor,HLTMonitor,BTagCSV","HIG,Hbb",0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00
0,HLT_IsoTkMu18_v4,"OnlineMonitor,SingleMuon","SMP,MUO",0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00
0,HLT_L1BptxPlus_v2,"OnlineMonitor,EmptyBX",null,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00
0,HLT_L1MinimumBiasHF_AND_v2,"OnlineMonitor,L1MinimumBias",null,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00
1,HLT_Ele300_CaloIdVT_GsfTrkIdT_v5,"OnlineMonitor,ExpressPhysics,SingleElectron",AlCa,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00
0,HLT_AK8DiPFJet250_200_TrimMass30_v3,"OnlineMonitor,JetHT","B2G,PAG",0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00
0,HLT_FullTracks_Multiplicity130_v3,"OnlineMonitor,HighMultiplicityEOF","FSQ,HIN",0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00
0,HLT_Mu15_IsoVVVL_PFHT350_v5,"OnlineMonitor,SingleMuon",SUS,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00
0,HLT_Dimuon16_Jpsi_v4,"OnlineMonitor,Charmonium",BPH,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00
0,HLT_IsoMu17_eta2p1_LooseIsoPFTau20_v6,"OnlineMonitor,SingleMuon","TAU,HIG",0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00
0,HLT_HT410to430_v3,"OnlineMonitor,ParkingHT410to430,ParkingScoutingMonitor",EXO,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00
0,HLT_IsoMu18_v3,"OnlineMonitor,SingleMuon","SMP,Top,HIG,MUO",0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00
0,HLT_IsoMu16_eta2p1_MET30_LooseIsoPFTau50_Trk30_eta2p1_v3,"OnlineMonitor,SingleMuon","HIG,TAU,EXO",0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00
0,HLT_QuadPFJet_BTagCSV_p016_p11_VBF_Mqq200_v3,"OnlineMonitor,HLTMonitor,BTagCSV","HIG,Hbb",0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00
