Prescale,Path,Dataset,Group,,Total,,,HLTPhysics0,,,HLTPhysics1,
1,HLT_Ele45_CaloIdVT_GsfTrkIdT_PFJet200_PFJet50_v7,"OnlineMonitor,SingleElectron",B2G,8.27,+/-,0.81,6.93,+/-,1.04,9.61,+/-,1.23
1,HLT_PFMET120_PFMHT120_IDTight_v5,"OnlineMonitor,HLTMonitor,MET",null,8.27,+/-,0.81,6.93,+/-,1.04,9.61,+/-,1.23
1,HLT_Dimuon13_Upsilon_v4,"OnlineMonitor,MuOnia",BPH,8.19,+/-,0.80,8.51,+/-,1.16,7.88,+/-,1.11
1,HLT_Photon90_CaloIdL_PFHT600_v6,"OnlineMonitor,SinglePhoton","SUS,EXO",8.11,+/-,0.80,8.66,+/-,1.17,7.56,+/-,1.09
1,HLT_PFMETTypeOne190_HBHE_BeamHaloCleaned_v2,"OnlineMonitor,MET",JME,8.11,+/-,0.80,8.35,+/-,1.15,7.88,+/-,1.11
1,HLT_DoubleMu3_PFMET50_v3,"OnlineMonitor,MET",SUS,8.03,+/-,0.80,8.03,+/-,1.12,8.03,+/-,1.12
1,HLT_Mu17_Photon35_CaloIdL_L1ISO_v7,"OnlineMonitor,MuonEG",EXO,7.72,+/-,0.78,8.35,+/-,1.15,7.09,+/-,1.06
1,HLT_L2Mu35_NoVertex_3Sta_NoBPTX3BX_v2,"OnlineMonitor,NoBPTX",EXO,7.56,+/-,0.77,8.66,+/-,1.17,6.46,+/-,1.01
1,HLT_Mu23_TrkIsoVVL_Ele8_CaloIdL_TrackIdL_IsoVL_v5,"OnlineMonitor,MuonEG",,7.56,+/-,0.77,8.35,+/-,1.15,6.77,+/-,1.03
1,HLT_MET200_v3,"OnlineMonitor,MET",Exotica,7.48,+/-,0.77,7.25,+/-,1.07,7.72,+/-,1.10
1,HLT_DoublePhoton60_v6,"OnlineMonitor,DoubleEG",null,7.40,+/-,0.76,8.03,+/-,1.12,6.77,+/-,1.03
1,HLT_PFHT300_DiPFJetAve90_PFAlphaT0p54_v5,"OnlineMonitor,HTMHT",SUS,7.25,+/-,0.76,6.46,+/-,1.01,8.03,+/-,1.12
1,HLT_Mu15_IsoVVVL_PFHT400_v3,"OnlineMonitor,SingleMuon",SUS,7.17,+/-,0.75,7.88,+/-,1.11,6.46,+/-,1.01
1,HLT_Ele24_eta2p1_WPLoose_Gsf_LooseIsoPFTau30_v2,"OnlineMonitor,SingleElectron",null,7.01,+/-,0.74,7.40,+/-,1.08,6.62,+/-,1.02
1,HLT_L2Mu40_NoVertex_3Sta_NoBPTX3BX_v2,"OnlineMonitor,NoBPTX",EXO,7.01,+/-,0.74,7.88,+/-,1.11,6.14,+/-,0.98
1,HLT_Ele15_IsoVVVL_PFHT400_v4,"OnlineMonitor,SingleElectron",SUS,6.62,+/-,0.72,6.77,+/-,1.03,6.46,+/-,1.01
1,HLT_Mu17_Mu8_SameSign_DZ_v3,"OnlineMonitor,DoubleMuon",null,6.54,+/-,0.72,7.56,+/-,1.09,5.51,+/-,0.93
1,HLT_PFJet500_v7,"OnlineMonitor,EventDisplay,JetHT","SMP,B2G,BTV",6.54,+/-,0.72,6.62,+/-,1.02,6.46,+/-,1.01
1,HLT_DoubleIsoMu17_eta2p1_noDzCut_v2,"OnlineMonitor,SingleMuon",null,6.54,+/-,0.72,7.40,+/-,1.08,5.67,+/-,0.95
1,HLT_PFHT250_DiPFJetAve90_PFAlphaT0p58_v5,"OnlineMonitor,HTMHT",SUS,6.38,+/-,0.71,5.83,+/-,0.96,6.93,+/-,1.04
1,HLT_DiCentralPFJet330_CFMax0p5_v3,"OnlineMonitor,JetHT",EXO,6.38,+/-,0.71,5.51,+/-,0.93,7.25,+/-,1.07
1,HLT_HT350_DisplacedDijet40_DisplacedTrack_v4,"OnlineMonitor,DisplacedJet",EXO,6.06,+/-,0.69,6.14,+/-,0.98,5.99,+/-,0.97
1,HLT_Mu8_Ele8_CaloIdM_TrackIdM_Mass8_PFHT300_v8,"OnlineMonitor,MuonEG",null,6.06,+/-,0.69,6.62,+/-,1.02,5.51,+/-,0.93
1,HLT_BTagMu_AK8Jet300_Mu5_v2,"OnlineMonitor,BTagMu",BTV,5.99,+/-,0.69,7.09,+/-,1.06,4.88,+/-,0.88
1,HLT_Ele27_WPLoose_Gsf_WHbbBoost_v7,"OnlineMonitor,SingleElectron",null,5.91,+/-,0.68,6.14,+/-,0.98,5.67,+/-,0.95
1,HLT_DoubleIsoMu17_eta2p1_v4,"OnlineMonitor,SingleMuon","TAU,HIG",5.75,+/-,0.67,7.09,+/-,1.06,4.41,+/-,0.83
1,HLT_PFHT350_DiPFJetAve90_PFAlphaT0p53_v5,"OnlineMonitor,HTMHT",SUS,5.67,+/-,0.67,4.41,+/-,0.83,6.93,+/-,1.04
1,HLT_DoubleMu33NoFiltersNoVtx_v3,"OnlineMonitor,DoubleMuon",EXO,5.51,+/-,0.66,5.04,+/-,0.89,5.99,+/-,0.97
1,HLT_Photon250_NoHE_v6,"OnlineMonitor,SinglePhoton",HIG,5.51,+/-,0.66,5.67,+/-,0.95,5.36,+/-,0.92
1,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v7,"OnlineMonitor,MuonEG",HIG,5.43,+/-,0.65,6.30,+/-,1.00,4.57,+/-,0.85
1,HLT_VBF_DisplacedJet40_DisplacedTrack_2TrackIP2DSig5_v3,"OnlineMonitor,DisplacedJet",EXO,5.36,+/-,0.65,5.99,+/-,0.97,4.73,+/-,0.86
4,HLT_BTagMu_DiJet170_Mu5_v2,"OnlineMonitor,BTagMu",BTV,5.28,+/-,0.32,5.36,+/-,0.46,5.20,+/-,0.45
1,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ_v1,"OnlineMonitor,MuonEG",HIG,5.20,+/-,0.64,4.88,+/-,0.88,5.51,+/-,0.93
1,HLT_DiCentralPFJet430_v3,"OnlineMonitor,JetHT",EXO,4.80,+/-,0.62,4.73,+/-,0.86,4.88,+/-,0.88
1,HLT_Mu6_PFHT200_PFMET100_v3,"OnlineMonitor,MET",JME,4.73,+/-,0.61,4.25,+/-,0.82,5.20,+/-,0.90
1,HLT_Mu20_Mu10_SameSign_v2,"OnlineMonitor,DoubleMuon",HIG,4.65,+/-,0.60,5.36,+/-,0.92,3.94,+/-,0.79
