file1:	frozen_2015_25ns14e33_v4.4_HLT_V1_Rate_v2_hltmenu_13TeV_2.0e33_20151017_p.tsv
file2:	frozen_2015_25ns14e33_v4.4_HLT_V1_25ns_data_Run_256843_Rates.tsv
	file1						file2			
path	prescale1		rate1			prescale2		rate2				bias
HLT_Ele12_CaloIdL_TrackIdL_IsoVL_PFJet30_v3	150	1.01	 ±	0.06		150	0.83	 ±	0.05		17.82%	±	6.95%
HLT_Dimuon0er16_Jpsi_NoOS_NoVertexing_v2	14	1.93	 ±	0.08		14	1.59	 ±	0.06		17.62%	±	4.62%
HLT_Dimuon8_PsiPrime_Barrel_v2	1	1.96	 ±	0.08		1	1.63	 ±	0.06		16.84%	±	4.57%
HLT_L2DoubleMu23_NoVertex_v2	28	0.05	 ±	0.02		28	0.06	 ±	0.01		16.67%	±	32.39%
HLT_LooseIsoPFTau50_Trk30_eta2p1_v3	4	1.78	 ±	0.07		4	1.49	 ±	0.06		16.29%	±	4.71%
HLT_Photon22_v2	5000	0.64	 ±	0.04		5000	0.54	 ±	0.04		15.62%	±	8.18%
HLT_Dimuon8_Upsilon_Barrel_v2	1	3.54	 ±	0.10		1	3.00	 ±	0.09		15.25%	±	3.49%
HLT_Ele12_CaloIdM_TrackIdM_PFJet30_v3	300	0.59	 ±	0.04		300	0.50	 ±	0.04		15.25%	±	8.89%
HLT_L1_TripleJet_VBF_v4	1400	4.36	 ±	0.12		1400	3.71	 ±	0.10		14.91%	±	3.28%
HLT_Dimuon0er16_Jpsi_NoVertexing_v2	14	1.69	 ±	0.07		14	1.44	 ±	0.06		14.79%	±	5.01%
HLT_Ele33_CaloIdM_TrackIdM_PFJet30_v3	150	0.83	 ±	0.04		150	0.71	 ±	0.04		14.46%	±	6.34%
HLT_Photon120_R9Id90_HE10_Iso40_EBOnly_PFMET40_v3	1	0.14	 ±	0.02		1	0.12	 ±	0.02		14.29%	±	18.82%
HLT_Dimuon10_Jpsi_Barrel_v2	1	13.76	 ±	0.20		1	11.84	 ±	0.18		13.95%	±	1.81%
HLT_DoubleJet90_Double30_DoubleBTagCSV0p67_v3	7	1.22	 ±	0.06		7	1.05	 ±	0.05		13.93%	±	5.89%
HLT_VBF_DisplacedJet40_Hadronic_2PromptTrack_v2	1	2.52	 ±	0.08		1	2.92	 ±	0.09		13.70%	±	3.88%
