		HLT_Diphoton30EB_18EB_R9Id_OR_IsoCaloId_AND_HE_R9Id_DoublePixelVeto_Mass55_v2	null		L1_SingleEG40||	L1_SingleIsoEG26||L1_SingleIsoEG24||L1_DoubleEG_15_10||L1_DoubleEG_22_12||L1_DoubleEG_18_17	
		HLT_Diphoton30PV_18PV_R9Id_AND_IsoCaloId_AND_HE_R9Id_DoublePixelVeto_Mass55_v2	null		L1_SingleEG40||	L1_SingleIsoEG26||L1_SingleIsoEG24||L1_DoubleEG_15_10||L1_DoubleEG_22_12||L1_DoubleEG_18_17	
		HLT_Diphoton30_18_R9Id_OR_IsoCaloId_AND_HE_R9Id_DoublePixelSeedMatch_Mass70_v2	null		L1_SingleEG40||	L1_SingleIsoEG26||L1_SingleIsoEG24||L1_DoubleEG_15_10||L1_DoubleEG_22_12||L1_DoubleEG_18_17	
		HLT_Diphoton30_18_R9Id_OR_IsoCaloId_AND_HE_R9Id_Mass90_v2	null		L1_SingleEG40||	L1_SingleIsoEG26||L1_SingleIsoEG24||L1_DoubleEG_15_10||L1_DoubleEG_22_12||L1_DoubleEG_18_17	
		HLT_Diphoton30_18_Solid_R9Id_AND_IsoCaloId_AND_HE_R9Id_Mass55_v2	null		L1_SingleEG40||	L1_SingleIsoEG26||L1_SingleIsoEG24||L1_DoubleEG_15_10||L1_DoubleEG_22_12||L1_DoubleEG_18_17	
		HLT_DoubleEle24_22_eta2p1_WPLoose_Gsf_v3	TAU,HIG		L1_DoubleEG_22_10||L1_DoubleEG_24_17		
		HLT_DoubleEle33_CaloIdL_GsfTrkIdVL_MW_v4	EXO-Disappearing Tracks		L1_SingleEG40||L1_SingleEG30||L1_SingleEG26||L1_DoubleEG_22_10||L1_DoubleEG_24_17||L1_SingleJet200		
		HLT_DoubleEle33_CaloIdL_GsfTrkIdVL_v4	EXO-Disappearing Tracks		L1_SingleEG40||L1_SingleEG30||L1_SingleEG26||L1_DoubleEG_22_10||L1_DoubleEG_24_17||L1_SingleJet200		
		HLT_DoubleEle33_CaloIdL_MW_v2	EXO-Disappearing Tracks		L1_SingleEG40||L1_SingleEG30||L1_SingleEG26||L1_DoubleEG_22_10||L1_DoubleEG_24_17||L1_SingleJet200		
		HLT_DoubleEle33_CaloIdL_v2	EXO		L1_SingleEG40||L1_SingleEG30||L1_SingleEG26||L1_DoubleEG_22_10||L1_DoubleEG_24_17||L1_SingleJet200		
