Path,,Data Rate (Hz),,,Data Rate scaled (Hz),,,Steam Rate (Hz),,,Data - Steam (Hz),,,(Data - Steam)/Steam
HLT_Mu28NoFiltersNoVtx_DisplacedJet40_Loose,0.220000,+/-,0.009556,0.238380,+/-,0.010355,0.000000,+/-,0.000000,0.238380,+/-,0.010355,999.000000,+/-,0.000000
HLT_Activity_Ecal_SC7,0.630000,+/-,0.016327,0.682633,+/-,0.017691,0.000000,+/-,0.000000,0.682633,+/-,0.017691,999.000000,+/-,0.000000
HLT_MET90_IsoTrk50,0.140000,+/-,0.007730,0.151696,+/-,0.008376,0.000000,+/-,0.000000,0.151696,+/-,0.008376,999.000000,+/-,0.000000
HLT_PFJet80,4.620000,+/-,0.044072,5.005978,+/-,0.047754,0.000000,+/-,0.000000,5.005978,+/-,0.047754,999.000000,+/-,0.000000
HLT_Photon30_R9Id90_HE10_IsoM,0.530000,+/-,0.014985,0.574279,+/-,0.016237,0.000000,+/-,0.000000,0.574279,+/-,0.016237,999.000000,+/-,0.000000
HLT_DiPFJetAve100_HFJEC,0.520000,+/-,0.014845,0.563443,+/-,0.016085,0.000000,+/-,0.000000,0.563443,+/-,0.016085,999.000000,+/-,0.000000
HLT_Ele12_CaloIdM_TrackIdM_PFJet30,3.770000,+/-,0.039808,4.084965,+/-,0.043134,0.000000,+/-,0.000000,4.084965,+/-,0.043134,999.000000,+/-,0.000000
HLT_PFHT200_DiPFJetAve90_PFAlphaT0p57,4.830000,+/-,0.045060,5.233523,+/-,0.048824,0.000000,+/-,0.000000,5.233523,+/-,0.048824,999.000000,+/-,0.000000
HLT_Mu40_TkMu11,1.820000,+/-,0.027678,1.972052,+/-,0.029990,0.000000,+/-,0.000000,1.972052,+/-,0.029990,999.000000,+/-,0.000000
HLT_Photon120_R9Id90_HE10_Iso40_EBOnly_PFMET40,0.160000,+/-,0.008092,0.173367,+/-,0.008768,0.000000,+/-,0.000000,0.173367,+/-,0.008768,999.000000,+/-,0.000000
HLT_Diphoton30_18_Solid_R9Id_AND_IsoCaloId_AND_HE_R9Id_Mass55,2.810000,+/-,0.034363,3.044762,+/-,0.037234,0.000000,+/-,0.000000,3.044762,+/-,0.037234,999.000000,+/-,0.000000
HLT_PFHT750_4JetPt50,3.290000,+/-,0.037176,3.564863,+/-,0.040282,0.000000,+/-,0.000000,3.564863,+/-,0.040282,999.000000,+/-,0.000000
HLT_DoublePhoton85,0.240000,+/-,0.010151,0.260051,+/-,0.010999,0.000000,+/-,0.000000,0.260051,+/-,0.010999,999.000000,+/-,0.000000
HLT_Mu30_Ele30_CaloIdL_GsfTrkIdVL,0.490000,+/-,0.014289,0.530937,+/-,0.015482,0.000000,+/-,0.000000,0.530937,+/-,0.015482,999.000000,+/-,0.000000
HLT_AK8DiPFJet250_200_TrimMass30_BTagCSV0p45,8.670000,+/-,0.060396,9.394336,+/-,0.065442,0.000000,+/-,0.000000,9.394336,+/-,0.065442,999.000000,+/-,0.000000
HLT_Photon135_PFMET100_JetIdCleaned,0.930000,+/-,0.019752,1.007697,+/-,0.021402,0.000000,+/-,0.000000,1.007697,+/-,0.021402,999.000000,+/-,0.000000
HLT_Mu17_TkMu8_DZ,0.440000,+/-,0.013592,0.476760,+/-,0.014727,0.000000,+/-,0.000000,0.476760,+/-,0.014727,999.000000,+/-,0.000000
HLT_HT650,15.290000,+/-,0.080192,16.567404,+/-,0.086892,0.000000,+/-,0.000000,16.567404,+/-,0.086892,999.000000,+/-,0.000000
HLT_DoublePhoton60,1.060000,+/-,0.021162,1.148558,+/-,0.022930,0.000000,+/-,0.000000,1.148558,+/-,0.022930,999.000000,+/-,0.000000
HLT_Ele23_CaloIdM_TrackIdM_PFJet30,0.580000,+/-,0.015613,0.628456,+/-,0.016917,0.000000,+/-,0.000000,0.628456,+/-,0.016917,999.000000,+/-,0.000000
HLT_PixelTracks_Multiplicity135ForEndOfFill,0.000000,+/-,0.000000,0.000000,+/-,0.000000,0.000000,+/-,0.000000,0.000000,+/-,0.000000,999.000000,+/-,0.000000
HLT_Mu10_CentralPFJet30_BTagCSV0p54PF,1.020000,+/-,0.020687,1.105216,+/-,0.022416,0.000000,+/-,0.000000,1.105216,+/-,0.022416,999.000000,+/-,0.000000
HLT_VBF_DisplacedJet40_VVTightID_Hadronic,0.000000,+/-,0.000000,0.000000,+/-,0.000000,0.000000,+/-,0.000000,0.000000,+/-,0.000000,999.000000,+/-,0.000000
HLT_Mu3er_PFHT140_PFMET125_JetIdCleaned,0.190000,+/-,0.009058,0.205874,+/-,0.009815,0.000000,+/-,0.000000,0.205874,+/-,0.009815,999.000000,+/-,0.000000
HLT_Ele15_IsoVVVL_PFHT350_PFMET50,0.770000,+/-,0.018029,0.834330,+/-,0.019536,0.000000,+/-,0.000000,0.834330,+/-,0.019536,999.000000,+/-,0.000000
HLT_AK4PFJet80,0.000000,+/-,0.000000,0.000000,+/-,0.000000,0.000000,+/-,0.000000,0.000000,+/-,0.000000,999.000000,+/-,0.000000
HLT_Mu7p5_Track3p5_Upsilon,0.280000,+/-,0.010883,0.303393,+/-,0.011792,0.000000,+/-,0.000000,0.303393,+/-,0.011792,999.000000,+/-,0.000000
HLT_AK4PFJet100,0.000000,+/-,0.000000,0.000000,+/-,0.000000,0.000000,+/-,0.000000,0.000000,+/-,0.000000,999.000000,+/-,0.000000
HLT_MonoCentralPFJet80_PFMETNoMu90_JetIdCleaned_PFMHTNoMu90_IDTight,5.450000,+/-,0.047866,5.905320,+/-,0.051865,0.000000,+/-,0.000000,5.905320,+/-,0.051865,999.000000,+/-,0.000000
