Prescale	Path	Group	Primary dataset	Total			HLTPhysics			
1	HLT_Diphoton30_18_Solid_R9Id_AND_IsoCaloId_AND_HE_R9Id_Mass55_v2	null	OnlineMonitor,DoubleEG	8.4547529803	±	2.81825099343	8.4547529803	±	2.81825099343	
1	HLT_CaloJet500_NoJetID_v3	null	OnlineMonitor,JetHT	0.939416997811	±	0.939416997811	0.939416997811	±	0.939416997811	
1	HLT_Mu27_Ele37_CaloIdL_GsfTrkIdVL_v2	null	OnlineMonitor,MuonEG	0.0	±	0	0.0	±	0	
1	HLT_JetE30_NoBPTX3BX_v2	EXO	OnlineMonitor,NoBPTX	0.0	±	0	0.0	±	0	
1	HLT_Dimuon10_Jpsi_Barrel_v3	BPH	OnlineMonitor,Charmonium	11.2730039737	±	3.25423593941	11.2730039737	±	3.25423593941	
1	HLT_DiPFJetAve35_HFJEC_v2	null	OnlineMonitor,FSQJets	0.0	±	0	0.0	±	0	
1	HLT_L1BeamGasPlus_v1	null	OnlineMonitor,Commissioning	0.0	±	0	0.0	±	0	
1	HLT_Mu8_TrkIsoVVL_Ele17_CaloIdL_TrackIdL_IsoVL_v4	HIG	OnlineMonitor,MuonEG	11.2730039737	±	3.25423593941	11.2730039737	±	3.25423593941	
1	HLT_Ele22_eta2p1_WPLoose_Gsf_v4	TAU,HIG	OnlineMonitor,SingleElectron	116.487707729	±	10.4609049645	116.487707729	±	10.4609049645	
1	HLT_LooseIsoPFTau50_Trk30_eta2p1_MET110_v2	null	OnlineMonitor,Tau	2.81825099343	±	1.6271179697	2.81825099343	±	1.6271179697	
1	HLT_CaloMHTNoPU90_PFMET90_PFMHT90_IDTight_BTagCSV_p067_v2	HIG (Hbb)	OnlineMonitor,MET	0.939416997811	±	0.939416997811	0.939416997811	±	0.939416997811	
1	HLT_Mu40_eta2p1_PFJet200_PFJet50_v4	B2G	OnlineMonitor,SingleMuon	0.939416997811	±	0.939416997811	0.939416997811	±	0.939416997811	
1	HLT_VBF_DisplacedJet40_DisplacedTrack_2TrackIP2DSig5_v3	EXO	OnlineMonitor,DisplacedJet	1.87883399562	±	1.32853625903	1.87883399562	±	1.32853625903	
1	HLT_RsqMR270_Rsq0p09_MR200_v3	SUSY	OnlineMonitor,HTMHT	1.87883399562	±	1.32853625903	1.87883399562	±	1.32853625903	
1	HLT_PFHT300_PFMET110_v2	SUSY,EXO	OnlineMonitor,HTMHT	2.81825099343	±	1.6271179697	2.81825099343	±	1.6271179697	
1	HLT_DiPFJet15_FBEta3_NoCaloMatched_v2	FSQ	OnlineMonitor,FSQJets	0.0	±	0	0.0	±	0	
1	HLT_Mu38NoFiltersNoVtx_DisplacedJet60_Loose_v3	EXO-Disappearing Tracks	OnlineMonitor,SingleMuon	2.81825099343	±	1.6271179697	2.81825099343	±	1.6271179697	
1	HLT_DiPFJet25_NoCaloMatched_v2	FSQ	OnlineMonitor,FSQJets	0.0	±	0	0.0	±	0	
1	HLT_Photon75_R9Id90_HE10_IsoM_v4	SMP	OnlineMonitor,SinglePhoton	1.87883399562	±	1.32853625903	1.87883399562	±	1.32853625903	
1	HLT_HT275_v2	EXO	OnlineMonitor,DisplacedJet	0.0	±	0	0.0	±	0	
1	HLT_PixelTracks_Multiplicity60ForEndOfFill_v2	FSQ,HIN	OnlineMonitor,HighMultiplicityEOF	0.0	±	0	0.0	±	0	
1	HLT_Photon120_R9Id90_HE10_IsoM_v4	SMP	OnlineMonitor,SinglePhoton	1.87883399562	±	1.32853625903	1.87883399562	±	1.32853625903	
1	HLT_PFJet80_v5	SMP,BTV	OnlineMonitor,JetHT	3.75766799124	±	1.87883399562	3.75766799124	±	1.87883399562	
1	HLT_L1MinimumBiasHF_OR_v2	null	OnlineMonitor,L1MinimumBias	0.0	±	0	0.0	±	0	
1	HLT_PFHT350_DiPFJetAve90_PFAlphaT0p53_v3	null	OnlineMonitor,HTMHT	2.81825099343	±	1.6271179697	2.81825099343	±	1.6271179697	
1	HLT_Mu7p5_Track7_Jpsi_v3	BPH	OnlineMonitor,Charmonium	0.0	±	0	0.0	±	0	
1	HLT_L1FatEvents_v1	null	OnlineMonitor,Commissioning	39.4555139081	±	6.08811797049	39.4555139081	±	6.08811797049	
1	HLT_HT2500_v2	PPD	OnlineMonitor,ExpressPhysics,JetHT	0.0	±	0	0.0	±	0	
1	HLT_IsoTkMu20_v5	SMP,muon	OnlineMonitor,SingleMuon	85.4869468008	±	8.96146700689	85.4869468008	±	8.96146700689	
1	HLT_MET700_v2	PPD,AlCa	OnlineMonitor,ExpressPhysics,MET	0.0	±	0	0.0	±	0	
1	HLT_QuadPFJet_VBF_v5	HIG (Hbb)	OnlineMonitor,JetHT	0.0	±	0	0.0	±	0	
1	HLT_Ele23_Ele12_CaloIdL_TrackIdL_IsoVL_DZ_v4	HIG	OnlineMonitor,DoubleEG	1.87883399562	±	1.32853625903	1.87883399562	±	1.32853625903	
1	HLT_PFHT400_v3	null	OnlineMonitor,JetHT	0.939416997811	±	0.939416997811	0.939416997811	±	0.939416997811	
1	HLT_Mu33NoFiltersNoVtxDisplaced_DisplacedJet50_Tight_v3	EXO-Disappearing Tracks	OnlineMonitor,SingleMuon	0.939416997811	±	0.939416997811	0.939416997811	±	0.939416997811	
1	HLT_DoubleJetsC100_DoubleBTagCSV_p014_DoublePFJetsC100MaxDeta1p6_v2	Higgs	OnlineMonitor,BTagCSV	3.75766799124	±	1.87883399562	3.75766799124	±	1.87883399562	
1	HLT_Ele27_HighEta_Ele20_Mass55_v2	ECAL	OnlineMonitor,DoubleEG	0.0	±	0	0.0	±	0	
1	HLT_DoubleMu4_JpsiTrk_Displaced_v3	BPH	OnlineMonitor,Charmonium	9.39416997811	±	2.97069738576	9.39416997811	±	2.97069738576	
1	HLT_Mu12_Photon25_CaloIdL_L1ISO_v4	HIG	OnlineMonitor,MuonEG	0.0	±	0	0.0	±	0	
1	HLT_PFMET170_JetIdCleaned_v3	null	OnlineMonitor,MET	1.87883399562	±	1.32853625903	1.87883399562	±	1.32853625903	
1	HLT_HT350_DisplacedDijet80_DisplacedTrack_v3	EXO	OnlineMonitor,DisplacedJet	0.0	±	0	0.0	±	0	
