Prescale,Path,Group,Total,,,QCDPt15to30,,,,\QCDPt30to50,,,\QCDPt50to80,,,\QCDPt80to120,,,\QCDPt120to170,,,\QCDPt170to300,,,\QCDPt300to470,,,\QCDPt470to600,,,\DYToLLM1,,,\WJetsToLNu,,,\QCDPt15to20EMEnriched,,,\QCDPt20to30EMEnriched,,,\QCDPt30to50EMEnriched,,,\QCDPt50to80EMEnriched,,,\QCDPt80to120EMEnriched,,,\QCDPt120to170EMEnriched,,,\QCDPt15to20MuEnrichedPt5,,,\QCDPt20to30MuEnrichedPt5,,,\QCDPt30to50MuEnrichedPt5,,,\QCDPt50to80MuEnrichedPt5,,,\QCDPt80to120MuEnrichedPt5,,,\QCDPt120to170MuEnrichedPt5,
0,HLT_L1SingleMuOpen_v2,0.00,6.22,±,0.11,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.00,±,0.00,1.52,±,0.08,3.95,±,0.07,0.71,±,0.01,0.00,±,0.00,0.01,±,0.01,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00
6,HLT_Photon75_R9Id90_HE10_Iso40_EBOnly_PFMET40_v3,HIG,5.88,±,0.11,0.00,±,0.00,0.00,±,0.00,0.03,±,0.03,0.01,±,0.01,0.02,±,0.01,1.86,±,0.09,3.37,±,0.07,0.55,±,0.01,0.00,±,0.00,0.02,±,0.01,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00
0,HLT_L1Tech_DT_GlobalOR_v2,DT,5.78,±,2.61,0.00,±,0.00,0.23,±,0.23,0.29,±,0.10,2.87,±,2.59,0.14,±,0.02,0.09,±,0.02,0.00,±,0.00,0.00,±,0.00,0.08,±,0.01,0.04,±,0.01,0.00,±,0.00,0.06,±,0.02,0.51,±,0.11,0.85,±,0.08,0.49,±,0.08,0.09,±,0.03,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.00,±,0.00,0.01,±,0.01
50,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v2,"Muons,SMP",5.76,±,0.12,0.00,±,0.00,0.00,±,0.00,0.03,±,0.03,0.01,±,0.01,0.04,±,0.01,2.30,±,0.10,2.89,±,0.06,0.47,±,0.01,0.00,±,0.00,0.01,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00
0,HLT_QuadPFJet_DoubleBTagCSV_VBF_Mqq200_v4,HIG,5.68,±,2.61,0.00,±,0.00,0.23,±,0.23,0.42,±,0.12,2.94,±,2.59,0.17,±,0.03,0.08,±,0.02,0.01,±,0.00,0.00,±,0.00,0.50,±,0.02,0.01,±,0.00,0.00,±,0.00,0.01,±,0.01,0.27,±,0.08,0.64,±,0.07,0.24,±,0.06,0.12,±,0.04,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.02,±,0.01,0.01,±,0.01
1,HLT_Mu15_IsoVVVL_PFHT600_v3,SUSY,5.52,±,0.24,0.00,±,0.00,0.00,±,0.00,0.16,±,0.07,0.06,±,0.02,0.01,±,0.01,0.10,±,0.02,0.01,±,0.00,0.00,±,0.00,0.08,±,0.01,1.95,±,0.07,0.01,±,0.01,0.28,±,0.05,1.25,±,0.17,1.16,±,0.10,0.29,±,0.06,0.14,±,0.04,0.00,±,0.00,0.00,±,0.00,0.01,±,0.00,0.00,±,0.00,0.01,±,0.01,0.00,±,0.00
1,HLT_AK8PFHT600_TrimR0p1PT0p03Mass50_BTagCSV0p45_v2,B2G,5.29,±,0.21,0.00,±,0.00,0.00,±,0.00,0.42,±,0.12,1.16,±,0.10,1.24,±,0.07,1.05,±,0.06,0.08,±,0.01,0.01,±,0.00,0.00,±,0.00,0.01,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.09,±,0.03,0.26,±,0.06,0.22,±,0.05,0.01,±,0.01,0.00,±,0.00,0.00,±,0.00,0.05,±,0.01,0.32,±,0.03,0.36,±,0.04
100,HLT_Dimuon0er16_Jpsi_NoVertexing_v2,BPH,5.05,±,0.20,0.00,±,0.00,0.00,±,0.00,0.13,±,0.06,0.03,±,0.02,0.03,±,0.01,0.16,±,0.03,0.04,±,0.01,0.00,±,0.00,0.03,±,0.00,0.12,±,0.02,0.00,±,0.00,0.02,±,0.01,0.48,±,0.11,0.66,±,0.07,0.38,±,0.07,0.14,±,0.04,0.01,±,0.01,0.08,±,0.02,0.35,±,0.03,1.18,±,0.07,0.86,±,0.06,0.36,±,0.04
0,HLT_FullTrack50_v2,HIN,4.82,±,0.09,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.94,±,0.06,3.16,±,0.06,0.71,±,0.01,0.00,±,0.00,0.01,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00
160,HLT_JetE30_NoBPTX_v2,EXO,4.81,±,0.21,0.00,±,0.00,0.00,±,0.00,0.29,±,0.10,0.32,±,0.05,0.13,±,0.02,0.13,±,0.02,0.01,±,0.00,0.00,±,0.00,0.95,±,0.03,0.64,±,0.04,0.00,±,0.00,0.01,±,0.01,0.43,±,0.10,1.12,±,0.10,0.54,±,0.09,0.20,±,0.05,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00
1,HLT_Ele23_CaloIdL_TrackIdL_IsoVL_v3,HIG,4.54,±,0.16,0.00,±,0.00,0.00,±,0.00,0.16,±,0.07,0.28,±,0.05,0.69,±,0.05,2.10,±,0.09,0.60,±,0.03,0.10,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.02,±,0.02,0.00,±,0.00,0.10,±,0.04,0.37,±,0.07,0.00,±,0.00,0.01,±,0.01,0.00,±,0.00,0.01,±,0.01,0.02,±,0.01,0.09,±,0.02
