Prescale,Path,Group,Total,,,QCDPt15to30,,,,\QCDPt30to50,,,\QCDPt50to80,,,\QCDPt80to120,,,\QCDPt120to170,,,\QCDPt170to300,,,\QCDPt300to470,,,\QCDPt470to600,,,\DYToLLM1,,,\WJetsToLNu,,,\QCDPt15to20EMEnriched,,,\QCDPt20to30EMEnriched,,,\QCDPt30to50EMEnriched,,,\QCDPt50to80EMEnriched,,,\QCDPt80to120EMEnriched,,,\QCDPt120to170EMEnriched,,,\QCDPt15to20MuEnrichedPt5,,,\QCDPt20to30MuEnrichedPt5,,,\QCDPt30to50MuEnrichedPt5,,,\QCDPt50to80MuEnrichedPt5,,,\QCDPt80to120MuEnrichedPt5,,,\QCDPt120to170MuEnrichedPt5,
0,HLT_AK4PFJet80_v3,HIN,1.01,±,0.06,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.04,±,0.01,0.00,±,0.00,0.00,±,0.00,0.03,±,0.00,0.22,±,0.02,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.02,±,0.01,0.03,±,0.02,0.00,±,0.00,0.00,±,0.00,0.03,±,0.01,0.17,±,0.02,0.21,±,0.03,0.17,±,0.03,0.08,±,0.02
1,HLT_DiPFJetAve300_HFJEC_v3,JME,1.00,±,0.08,0.00,±,0.00,0.00,±,0.00,0.03,±,0.03,0.01,±,0.01,0.00,±,0.00,0.06,±,0.02,0.01,±,0.00,0.00,±,0.00,0.01,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.02,±,0.02,0.02,±,0.01,0.01,±,0.01,0.04,±,0.02,0.00,±,0.00,0.02,±,0.01,0.18,±,0.02,0.31,±,0.04,0.18,±,0.03,0.08,±,0.02
2,HLT_DiPFJetAve80_HFJEC_v3,JME,1.00,±,0.09,0.00,±,0.00,0.00,±,0.00,0.03,±,0.03,0.21,±,0.04,0.18,±,0.03,0.18,±,0.03,0.02,±,0.00,0.00,±,0.00,0.03,±,0.00,0.02,±,0.01,0.00,±,0.00,0.01,±,0.01,0.02,±,0.02,0.02,±,0.01,0.14,±,0.04,0.09,±,0.03,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.02,±,0.01,0.01,±,0.01
1000,HLT_DiPFJetAve60_HFJEC_v3,JME,1.00,±,0.06,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.04,±,0.01,0.00,±,0.00,0.00,±,0.00,0.03,±,0.00,0.22,±,0.02,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.02,±,0.01,0.01,±,0.01,0.00,±,0.00,0.00,±,0.00,0.03,±,0.01,0.15,±,0.02,0.21,±,0.03,0.17,±,0.03,0.08,±,0.02
1,HLT_HT2500_v1,Hotline,0.99,±,0.12,0.00,±,0.00,0.00,±,0.00,0.26,±,0.09,0.27,±,0.05,0.11,±,0.02,0.09,±,0.02,0.01,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.02,±,0.02,0.07,±,0.02,0.11,±,0.04,0.04,±,0.02,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.00,±,0.00
1,HLT_DiPFJetAve60_v2,JME,0.99,±,0.06,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.04,±,0.02,0.17,±,0.03,0.54,±,0.05,0.10,±,0.01,0.01,±,0.00,0.00,±,0.00,0.09,±,0.01,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.03,±,0.01
1,HLT_IsoMu20_eta2p1_LooseIsoPFTau20_v3,"TAU,HIG",0.98,±,0.06,0.00,±,0.00,0.00,±,0.00,0.03,±,0.03,0.00,±,0.00,0.02,±,0.01,0.49,±,0.04,0.37,±,0.02,0.04,±,0.00,0.00,±,0.00,0.02,±,0.01,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00
1,HLT_HT400_DisplacedDijet40_Inclusive_v2,EXO,0.98,±,0.07,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.08,±,0.03,0.23,±,0.03,0.51,±,0.05,0.04,±,0.01,0.00,±,0.00,0.00,±,0.00,0.01,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.02,±,0.01,0.01,±,0.01,0.05,±,0.02,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.03,±,0.01
50,HLT_Mu27_TkMu8_v2,"EXO,B2G",0.97,±,0.09,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.30,±,0.06,0.38,±,0.05,0.19,±,0.02,0.06,±,0.02,0.03,±,0.01,0.00,±,0.00
1,HLT_Mu38NoFiltersNoVtxDisplaced_DisplacedJet60_Tight_v2,EXO,0.94,±,0.05,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.36,±,0.04,0.52,±,0.03,0.05,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00
0,HLT_Ele23_WPLoose_Gsf_v3,"SMP,TOP",0.94,±,0.08,0.00,±,0.00,0.00,±,0.00,0.06,±,0.05,0.01,±,0.01,0.02,±,0.01,0.31,±,0.03,0.03,±,0.01,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.04,±,0.02,0.06,±,0.03,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.02,±,0.01,0.14,±,0.02,0.24,±,0.03
0,HLT_AK4PFJet30_v3,HIN,0.93,±,0.07,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.19,±,0.03,0.03,±,0.01,0.00,±,0.00,0.03,±,0.00,0.01,±,0.01,0.00,±,0.00,0.00,±,0.00,0.02,±,0.02,0.00,±,0.00,0.06,±,0.03,0.04,±,0.02,0.00,±,0.00,0.01,±,0.01,0.01,±,0.01,0.04,±,0.01,0.17,±,0.03,0.31,±,0.04
1,HLT_IsoMu17_eta2p1_LooseIsoPFTau20_SingleL1_v4,"TAU,HIG",0.93,±,0.09,0.00,±,0.00,0.00,±,0.00,0.06,±,0.05,0.21,±,0.04,0.28,±,0.03,0.19,±,0.03,0.02,±,0.01,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.00,±,0.00,0.00,±,0.00,0.06,±,0.03,0.07,±,0.03,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.01,±,0.01
0,HLT_AK4CaloJet30_v3,HIN,0.92,±,0.05,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.03,±,0.01,0.22,±,0.03,0.14,±,0.01,0.02,±,0.00,0.02,±,0.00,0.40,±,0.03,0.00,±,0.00,0.01,±,0.01,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.02,±,0.01,0.05,±,0.02
1,HLT_Ele33_CaloIdM_TrackIdM_PFJet30_v3,SUSY,0.92,±,0.05,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.03,±,0.01,0.22,±,0.03,0.14,±,0.01,0.02,±,0.00,0.02,±,0.00,0.40,±,0.03,0.00,±,0.00,0.01,±,0.01,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.02,±,0.01,0.05,±,0.02
5,HLT_Ele10_CaloIdM_TrackIdM_CentralPFJet30_BTagCSV0p54PF_v3,SUSY,0.92,±,0.06,0.00,±,0.00,0.00,±,0.00,0.03,±,0.03,0.01,±,0.01,0.08,±,0.02,0.32,±,0.04,0.16,±,0.01,0.03,±,0.00,0.00,±,0.00,0.22,±,0.02,0.01,±,0.01,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.00,±,0.00,0.01,±,0.01,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.03,±,0.01
50,HLT_Mu17_Mu8_DZ_v2,"TOP,HIG,SMP",0.91,±,0.06,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.01,±,0.00,0.00,±,0.00,0.11,±,0.01,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.02,±,0.02,0.02,±,0.01,0.03,±,0.02,0.00,±,0.00,0.00,±,0.00,0.08,±,0.02,0.22,±,0.03,0.24,±,0.03,0.14,±,0.02,0.03,±,0.01
10000,HLT_Mu12_Photon25_CaloIdL_v3,HIG,0.90,±,0.07,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.03,±,0.02,0.01,±,0.01,0.11,±,0.02,0.01,±,0.00,0.00,±,0.00,0.01,±,0.00,0.09,±,0.01,0.00,±,0.00,0.00,±,0.00,0.02,±,0.02,0.01,±,0.01,0.07,±,0.03,0.05,±,0.02,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.10,±,0.02,0.23,±,0.03,0.15,±,0.03
20,HLT_PFJet400_v4,"SMP,B2G,BTV",0.89,±,0.10,0.00,±,0.00,0.00,±,0.00,0.13,±,0.06,0.05,±,0.02,0.02,±,0.01,0.02,±,0.01,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.02,±,0.01,0.12,±,0.05,0.06,±,0.02,0.06,±,0.03,0.02,±,0.02,0.00,±,0.00,0.02,±,0.01,0.10,±,0.02,0.17,±,0.03,0.08,±,0.02,0.02,±,0.01
1,HLT_Mu7p5_Track3p5_Jpsi_v2,BPH,0.89,±,0.06,0.00,±,0.00,0.00,±,0.00,0.03,±,0.03,0.01,±,0.01,0.06,±,0.02,0.22,±,0.03,0.11,±,0.01,0.02,±,0.00,0.01,±,0.00,0.39,±,0.03,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.02,±,0.01
1,HLT_Mu6_PFHT200_PFMET100_v1,SUSY,0.89,±,0.10,0.00,±,0.00,0.00,±,0.00,0.13,±,0.06,0.28,±,0.05,0.21,±,0.03,0.09,±,0.02,0.01,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.02,±,0.01,0.06,±,0.03,0.06,±,0.03,0.00,±,0.00,0.01,±,0.01,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.02,±,0.01
15,HLT_DiPFJetAve320_v2,JME,0.88,±,0.05,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.03,±,0.01,0.21,±,0.03,0.14,±,0.01,0.02,±,0.00,0.02,±,0.00,0.37,±,0.03,0.00,±,0.00,0.01,±,0.01,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.05,±,0.02
1,HLT_HT550to650_v1,"EXO,PPD",0.88,±,0.05,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.03,±,0.01,0.21,±,0.03,0.14,±,0.01,0.02,±,0.00,0.02,±,0.00,0.37,±,0.03,0.00,±,0.00,0.01,±,0.01,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.05,±,0.02
0,HLT_Mu8_Ele8_CaloIdM_TrackIdM_Mass8_PFHT250_v1,SUSY,0.87,±,0.07,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.02,±,0.02,0.03,±,0.02,0.00,±,0.00,0.01,±,0.01,0.07,±,0.03,0.14,±,0.03,0.28,±,0.03,0.15,±,0.03,0.10,±,0.02,0.03,±,0.01
0,HLT_QuadPFJet_SingleBTagCSV_VBF_Mqq460_v4,HIG,0.86,±,0.07,0.00,±,0.00,0.00,±,0.00,0.03,±,0.03,0.03,±,0.02,0.12,±,0.02,0.39,±,0.04,0.09,±,0.01,0.01,±,0.00,0.01,±,0.00,0.06,±,0.01,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.06,±,0.03,0.05,±,0.02,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01
1,HLT_Mu33NoFiltersNoVtxDisplaced_Photon33_CaloIdL_v2,EXO,0.86,±,0.08,0.00,±,0.00,0.00,±,0.00,0.10,±,0.06,0.09,±,0.03,0.06,±,0.02,0.41,±,0.04,0.09,±,0.01,0.01,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.02,±,0.02,0.02,±,0.01,0.00,±,0.00,0.02,±,0.02,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.01,±,0.01
2500,HLT_QuadPFJet_VBF_v4,HIG,0.85,±,0.04,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.22,±,0.03,0.49,±,0.03,0.12,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00
1,HLT_Ele27_eta2p1_WPTight_Gsf_v2,Egamma,0.84,±,0.08,0.00,±,0.00,0.00,±,0.00,0.06,±,0.05,0.11,±,0.03,0.18,±,0.03,0.27,±,0.03,0.05,±,0.01,0.01,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.02,±,0.01,0.03,±,0.02,0.10,±,0.04,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01
0,HLT_PFMETNoMu90_JetIdCleaned_PFMHTNoMu90_IDTight_v3,EXO,0.84,±,0.07,0.00,±,0.00,0.00,±,0.00,0.03,±,0.03,0.01,±,0.01,0.00,±,0.00,0.47,±,0.04,0.09,±,0.01,0.01,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.05,±,0.02,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.04,±,0.01,0.15,±,0.03
1,HLT_Ele12_CaloIdL_TrackIdL_IsoVL_v3,HIG,0.82,±,0.07,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.08,±,0.03,0.10,±,0.02,0.17,±,0.03,0.02,±,0.00,0.00,±,0.00,0.02,±,0.00,0.17,±,0.02,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.05,±,0.02,0.11,±,0.04,0.07,±,0.03,0.01,±,0.01,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00
0,HLT_HT500_DisplacedDijet40_Inclusive_v2,EXO,0.81,±,0.05,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.00,±,0.00,0.02,±,0.01,0.00,±,0.00,0.00,±,0.00,0.19,±,0.01,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.04,±,0.02,0.01,±,0.01,0.00,±,0.00,0.00,±,0.00,0.03,±,0.01,0.12,±,0.02,0.18,±,0.03,0.15,±,0.02,0.04,±,0.01
45,HLT_Mu10_CentralPFJet30_BTagCSV0p54PF_v3,SUSY,0.81,±,0.07,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.02,±,0.01,0.00,±,0.00,0.06,±,0.02,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.02,±,0.02,0.01,±,0.01,0.04,±,0.02,0.04,±,0.02,0.00,±,0.00,0.00,±,0.00,0.02,±,0.01,0.18,±,0.03,0.29,±,0.03,0.12,±,0.02
0,HLT_LooseIsoPFTau50_Trk30_eta2p1_MET80_v1,"TAU,HIG",0.81,±,0.06,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.02,±,0.01,0.51,±,0.05,0.20,±,0.02,0.03,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.02,±,0.02,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.02,±,0.01
1,HLT_ECALHT800_v2,EXO,0.79,±,0.08,0.00,±,0.00,0.00,±,0.00,0.10,±,0.06,0.13,±,0.03,0.18,±,0.03,0.23,±,0.03,0.03,±,0.01,0.00,±,0.00,0.00,±,0.00,0.03,±,0.01,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.03,±,0.02,0.05,±,0.02,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.01,±,0.01
0,HLT_PFMET100_PFMHT100_IDTight_v2,HIG,0.78,±,0.04,0.00,±,0.00,0.00,±,0.00,0.03,±,0.03,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.69,±,0.02,0.01,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.02,±,0.01,0.01,±,0.01,0.01,±,0.01,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00
1,HLT_Mu17_Photon22_CaloIdL_L1ISO_v1,HIG,0.78,±,0.08,0.00,±,0.00,0.00,±,0.00,0.03,±,0.03,0.17,±,0.04,0.25,±,0.03,0.17,±,0.03,0.01,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.04,±,0.02,0.07,±,0.03,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01
3,HLT_Photon90_R9Id90_HE10_Iso40_EBOnly_PFMET40_v3,HIG,0.76,±,0.04,0.00,±,0.00,0.00,±,0.00,0.03,±,0.03,0.00,±,0.00,0.00,±,0.00,0.02,±,0.01,0.00,±,0.00,0.00,±,0.00,0.67,±,0.02,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.01,±,0.01,0.01,±,0.01
1,HLT_Mu25_TkMu0_dEta18_Onia_v2,"BPH,SMP",0.75,±,0.07,0.00,±,0.00,0.00,±,0.00,0.03,±,0.03,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.02,±,0.01,0.00,±,0.00,0.00,±,0.00,0.12,±,0.04,0.21,±,0.03,0.19,±,0.02,0.11,±,0.02,0.03,±,0.01,0.02,±,0.01
1,HLT_Mu28NoFiltersNoVtxDisplaced_Photon28_CaloIdL_v2,EXO,0.74,±,0.24,0.00,±,0.00,0.23,±,0.23,0.00,±,0.00,0.01,±,0.01,0.01,±,0.01,0.04,±,0.01,0.01,±,0.00,0.00,±,0.00,0.01,±,0.00,0.09,±,0.01,0.00,±,0.00,0.02,±,0.01,0.05,±,0.03,0.05,±,0.02,0.13,±,0.04,0.10,±,0.04,0.00,±,0.00,0.01,±,0.01,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00
1,HLT_IsoTkMu22_v2,"SMP,Muons",0.72,±,0.06,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.02,±,0.01,0.00,±,0.00,0.00,±,0.00,0.02,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.00,±,0.00,0.01,±,0.01,0.03,±,0.02,0.05,±,0.02,0.19,±,0.02,0.21,±,0.03,0.13,±,0.02,0.04,±,0.01
1300,HLT_Mu17_v2,Muons,0.71,±,0.05,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.03,±,0.02,0.12,±,0.02,0.46,±,0.04,0.07,±,0.01,0.01,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00
0,HLT_PFMET90_PFMHT90_IDTight_v2,HIG,0.69,±,0.25,0.00,±,0.00,0.23,±,0.23,0.23,±,0.09,0.07,±,0.02,0.02,±,0.01,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.02,±,0.02,0.07,±,0.02,0.03,±,0.02,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.01,±,0.01,0.00,±,0.00,0.00,±,0.00
1,HLT_MET200_v1,EXO,0.69,±,0.05,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.00,±,0.00,0.02,±,0.01,0.00,±,0.00,0.00,±,0.00,0.19,±,0.01,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.04,±,0.02,0.01,±,0.01,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.10,±,0.02,0.13,±,0.02,0.13,±,0.02,0.04,±,0.01
1,HLT_CaloJet500_NoJetID_v2,EXO,0.68,±,0.07,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.02,±,0.01,0.00,±,0.00,0.02,±,0.01,0.00,±,0.00,0.00,±,0.00,0.17,±,0.05,0.20,±,0.03,0.20,±,0.02,0.05,±,0.01,0.02,±,0.01,0.01,±,0.01
1,HLT_Rsq0p25_v2,SUSY,0.68,±,0.05,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.40,±,0.04,0.15,±,0.01,0.02,±,0.00,0.00,±,0.00,0.01,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.08,±,0.02
0,HLT_VBF_DisplacedJet40_VTightID_Hadronic_v2,EXO,0.62,±,0.07,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.02,±,0.01,0.00,±,0.00,0.00,±,0.00,0.02,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.07,±,0.04,0.02,±,0.01,0.03,±,0.02,0.01,±,0.01,0.01,±,0.01,0.03,±,0.01,0.12,±,0.02,0.16,±,0.03,0.07,±,0.02,0.04,±,0.01
0,HLT_Ele27_eta2p1_WPLoose_Gsf_LooseIsoPFTau20_v3,"HIG,TAU",0.62,±,0.09,0.00,±,0.00,0.00,±,0.00,0.03,±,0.03,0.02,±,0.01,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.10,±,0.02,0.09,±,0.02,0.18,±,0.04,0.12,±,0.05,0.07,±,0.02,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00
1,HLT_Mu50_v2,"EXO,B2G",0.61,±,0.03,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.00,±,0.00,0.00,±,0.00,0.49,±,0.02,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.00,±,0.00,0.03,±,0.01,0.02,±,0.01,0.03,±,0.01,0.00,±,0.00
1,HLT_Mu40_eta2p1_PFJet200_PFJet50_v3,B2G,0.61,±,0.05,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.26,±,0.03,0.06,±,0.01,0.01,±,0.00,0.00,±,0.00,0.02,±,0.01,0.00,±,0.00,0.01,±,0.01,0.00,±,0.00,0.01,±,0.01,0.00,±,0.00,0.01,±,0.01,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.04,±,0.01,0.17,±,0.03
7,HLT_DiPFJetAve80_v2,JME,0.61,±,0.06,0.00,±,0.00,0.00,±,0.00,0.06,±,0.05,0.02,±,0.01,0.03,±,0.01,0.23,±,0.03,0.10,±,0.01,0.02,±,0.00,0.00,±,0.00,0.08,±,0.01,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.04,±,0.01
1,HLT_HT250_DisplacedDijet40_DisplacedTrack_v2,EXO,0.58,±,0.06,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.18,±,0.03,0.03,±,0.01,0.00,±,0.00,0.02,±,0.00,0.01,±,0.00,0.00,±,0.00,0.00,±,0.00,0.02,±,0.02,0.00,±,0.00,0.03,±,0.02,0.02,±,0.02,0.00,±,0.00,0.01,±,0.01,0.01,±,0.01,0.01,±,0.01,0.07,±,0.02,0.17,±,0.03
